price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,facing,availability,car parking,balcony,owner resides,overlooking
"₹ 19,000","3 BHK Apartment for rent in Vijay Shanthi Apartment, Kelambakkam, Old Mahabalipuram Road 1150 sqft",12.7602014,80.207,,,,,,,,,,
"₹ 8,500",1 BHK House for rent in Tambaram Sanatorium,13.044207572937012,80.20053100585938,Ground out of 1 Floor,Unfurnished,Bachelors,1,South,Immediately,1 Open,,,
"₹ 35,000",3 BHK Builder Floor for rent in Pushpa Nagar-Nungambakkam 1600 sqft,,,2 out of 2 Floors,Semi-Furnished,Family,3,East,Immediately,5 Covered,1,Same Premise,
"₹ 15,000",2 BHK House for rent in Velachery 950 sqft,12.97907829284668,80.21918487548828,1 out of 2 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 15,000","2 BHK Apartment for rent in Arun Excello Sankara, Mambakkam 970 sqft",,,,,,,,,,,,
"₹ 45,000","3 BHK Apartment for rent in Pondy Bazaar, T Nagar 1850 sqft",,,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 10,000","3 BHK Apartment for rent in Estancia, Kattankulathur, GST Road 1860 sqft",,,,,,,,,,,,
"₹ 35,000",3 BHK Apartment for rent in Padi 1700 sqft,13.057442665100098,80.22496795654297,2 out of 7 Floors,Semi-Furnished,Family,3,North,Immediately,"1 Covered, 1 Open",1,,"Garden/Park, Main Road"
"₹ 17,500","3 BHK Apartment for rent in Citilights Blessings, Kelambakkam, Old Mahabalipuram Road 1780 sqft",12.7835651259669,80.2259645395662,,,,,,,,,,
"₹ 57,000","3 BHK Apartment for rent in Chettinad Rani Meyyammai Towers, MRC Nagar, Raja Annamalai Puram 2000 sqft",13.016144,80.271262,,,,,,,,,,
"₹ 12,000",2 BHK House for rent in Sholinganallur,12.896888732910156,80.22482299804688,Ground out of 1 Floor,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 4,500",1 BHK House for rent in Maraimalai Nagar,,,Ground out of 2 Floors,Unfurnished,Bachelors/Family,1,East,Immediately,,,,
"₹ 19,000",3 BHK House for rent in New Colony - Chromepet 1850 sqft,12.950366020202637,80.13587951660156,1 out of 2 Floors,Semi-Furnished,Bachelors,2,East,Immediately,,1,,Main Road
"₹ 20,000",2 BHK Apartment for rent in Kilpauk 1100 sqft,13.099081039428711,80.24270629882812,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,North,Immediately,,1,,Main Road
"₹ 10,000","1 BHK House for rent in Valasaravakkam, Arcot Road",,,2 out of 2 Floors,Unfurnished,Bachelors/Family,1,,Immediately,1 Open,1,Same Premise,
"₹ 20,000",3 BHK Apartment for rent in Perungudi 1250 sqft,,,1 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,North,From Mar '20,,,,
"₹ 18,000",2 BHK Builder Floor for rent in Anna Nagar 800 sqft,,,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 10,000","2 BHK Apartment for rent in SARE Homes, Old Mahabalipuram Road 997 sqft",,,,,,,,,,,,
"₹ 60,000",3 BHK Apartment for rent in Thiruvanmiyur 1650 sqft,12.983258247375488,80.26066589355469,1 out of 5 Floors,Semi-Furnished,Bachelors,3,East,Immediately,,2,,"Garden/Park, Main Road"
"₹ 20,000",2 BHK Builder Floor for rent in Teynampet 940 sqft,,,2 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,East,Immediately,1 Open,2,,Main Road
"₹ 50,000",3 BHK Builder Floor for rent in Anna Nagar 2000 sqft,13.061098098754883,80.19329071044922,1 out of 5 Floors,Semi-Furnished,Bachelors,3,East,Immediately,"1 Covered, 1 Open",1,,"Garden/Park, Main Road"
"₹ 13,000","2 BHK Apartment for rent in Tambaram West, Tambaram, Chennai Bypass Road 1450 sqft",12.935771942138672,80.09375762939453,1 out of 2 Floors,Semi-Furnished,Bachelors,2,East,Immediately,,2,,
"₹ 25,000","2 BHK House for rent in Ashok Nagar, Jawaharlal Nehru Road 1000 sqft",,,Ground out of 2 Floors,Semi-Furnished,Family,2,East,Immediately,1 Covered,,Same Premise,Garden/Park
"₹ 6,000",1 BHK House for rent in Velachery,,,Ground out of 2 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,
"₹ 30,000",3 BHK Builder Floor for rent in Thiruvanmiyur 1340 sqft,,,1 out of 4 Floors,Unfurnished,Bachelors/Family,2,West,Immediately,,,,
"₹ 68,000","3 BHK Apartment for rent in DLF Commanders Court, Egmore, PH Road 1650 sqft",13.0653484012077,80.2575285969135,,,,,,,,,,
"₹ 17,500","3 BHK Apartment for rent in KG Earth Homes, Siruseri 1260 sqft",12.8421730962308,80.2068336271899,,,,,,,,,,
