,title,price_per_month,deposit,rooms,baths,FOR FAMILY,FOR SINGLE MEN,FOR SINGLE WOMEN,FURNISHED,price
0,2 BHK Flat for rent in Wadala East,"₹ 55,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '55,000', '/monthDeposit', '₹', '200000']"
1,2 BHK Flat for rent in Bandra (West),"₹ 90,000",₹ 300000,BHK2,2,1.0,1.0,1.0,,"['₹', '90,000', '/monthDeposit', '₹', '300000']"
2,2 BHK Flat for rent in Vijay Nagari,"₹ 28,000",month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '28,000', '/monthDeposit', '6', 'month(s)', 'rent']"
3,2 BHK Flat for rent in Kandivali (East),"₹ 34,500",₹ 150000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '34,500', '/monthDeposit', '₹', '150000']"
4,2 BHK Flat for rent in Hiranandani Gardens - Powai,"₹ 90,000",month(s) rent,BHK2,2,1.0,,,1.0,"['₹', '90,000', '/monthDeposit', '4', 'month(s)', 'rent']"
5,2 BHK Flat for rent in Sector 23 Ghansoli,"₹ 24,000",₹ 60000,BHK2,2,1.0,1.0,1.0,,"['₹', '24,000', '/monthDeposit', '₹', '60000']"
6,2 BHK Flat for rent in Kolshet Road,"₹ 22,500",₹ 100000,BHK2,2,1.0,,,,"['₹', '22,500', '/monthDeposit', '₹', '100000']"
7,2 BHK Flat for rent in Lower Parel,"₹ 85,000",month(s) rent,BHK3,3,,,,1.0,"['₹', '85,000', '/monthDeposit', '6', 'month(s)', 'rent']"
8,2 BHK Flat for rent in Goregaon (East),"₹ 38,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '38,000', '/monthDeposit', '₹', '100000']"
9,2 BHK Flat for rent in Thane West,"₹ 23,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '23,000', '/monthDeposit', '₹', '100000']"
10,3 BHK Flat for rent in Jogeshwari (East),"₹ 72,000",₹ 300000,BHK2,2,1.0,,,,"['₹', '72,000', '/monthDeposit', '₹', '300000']"
11,1 BHK Flat for rent in Worli,"₹ 26,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '26,000', '/monthDeposit', '₹', '50000']"
12,3 BHK Flat for rent in Dadar (East),₹ 1.38,₹ 349000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.38', 'Lac', '/monthDeposit', '₹', '349000']"
13,3 BHK Flat for rent in Dadar (East),₹ 1.34,₹ 349000,BHK3,3,1.0,1.0,1.0,,"['₹', '1.34', 'Lac', '/monthDeposit', '₹', '349000']"
14,3 BHK Flat for rent in Vile Parle (West),"₹ 75,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '75,000', '/monthDeposit', '₹', '300000']"
15,2 BHK Flat for rent in Sector-18 Kopar Khairane,"₹ 19,000",₹ 50000,BHK2,2,1.0,,,,"['₹', '19,000', '/monthDeposit', '₹', '50000']"
16,2 BHK Flat for rent in Andheri (East),"₹ 53,000",month(s) rent,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '53,000', '/monthDeposit', '4', 'month(s)', 'rent']"
17,2 BHK Flat for rent in Parel,₹ 1,month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '1', 'Lac', '/monthDeposit', '6', 'month(s)', 'rent']"
18,2 BHK Flat for rent in Chembur,"₹ 44,000",₹ 200000,BHK1,1,1.0,,,,"['₹', '44,000', '/monthDeposit', '₹', '200000']"
19,3 BHK Flat for rent in Prabhadevi,₹ 2,Lac /month,BHK3,3,,,,1.0,"['₹', '2', 'Lac', '/month']"
20,3 BHK Flat for rent in Andheri (West),"₹ 65,000",₹ 300000,BHK3,3,1.0,,,1.0,"['₹', '65,000', '/monthDeposit', '₹', '300000']"
