price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides
"₹ 10,000",1 BHK Builder Floor for rent in Saket,28.523548126220703,77.20889282226562,2 out of 4 Floors,Furnished,Bachelors/Family,2,1,Immediately,,,,
₹ 1.6 Lac,4 BHK Builder Floor for rent in Greater Kailash 1 3200 sqft,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,4,2,Immediately,South,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 7,000",1 BHK Builder Floor for rent in Chhattarpur,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,East,Main Road,1 Open,
"₹ 20,500","1 BHK House for rent in Dayanand Colony, Lajpat Nagar",28.562599182128906,77.24960327148438,Ground out of 3 Floors,Furnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 13,000",1 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 27,000","1 BHK Apartment for rent in South Extension 2, South Ex 2",28.563888549804688,77.22004699707031,2 out of 3 Floors,Semi-Furnished,Bachelors,1,2,Immediately,North - West,"Main Road, Garden/Park, Pool",,
"₹ 30,000","3 BHK Apartment for rent in Indraprastha Extension, Patparganj 1600 sqft",28.628671646118164,77.30213165283203,2 out of 7 Floors,Semi-Furnished,Bachelors,2,2,Immediately,East,"Garden/Park, Main Road",,
"₹ 48,500",3 BHK Builder Floor for rent in Jasola 2500 sqft,28.545133590698242,77.29019927978516,2 out of 3 Floors,Semi-Furnished,Bachelors,3,3,Immediately,North - East,Garden/Park,,
"₹ 11,800","1 BHK Apartment for rent in Maa Shakti Apartment, Paschim Vihar",28.6750512230609,77.0976053740202,,,,,,,,,,
"₹ 9,900",2 BHK Builder Floor for rent in Uttam Nagar West 675 sqft,,,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,,,,Same Premise
"₹ 10,500",2 BHK Builder Floor for rent in Uttam Nagar West 850 sqft,,,3 out of 4 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 8,500",2 BHK Builder Floor for rent in Vinod Nagar East 55 sqyrd,,,3 out of 3 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,Main Road,,Same Premise
"₹ 60,000",3 BHK Builder Floor for rent in Greater Kailash Enclave 2,28.53972816467285,77.23796844482422,2 out of 3 Floors,Semi-Furnished,Bachelors,3,2,Immediately,North - East,"Garden/Park, Pool",,
₹ 2.5 Lac,3 BHK Builder Floor for rent in Jor Bagh 375 sqyrd,28.587936401367188,77.2162094116211,3 out of 3 Floors,Unfurnished,Bachelors/Family,3,1,Immediately,,Garden/Park,,
"₹ 90,000","4 BHK Apartment for rent in DDA Flats Sector B Pocket 10, Vasant Kunj 1550 sqft",28.532116,77.151755,,,,,,,,,,
"₹ 60,000",3 BHK Builder Floor for rent in Kalkaji 1800 sqft,28.543664932250977,77.25489807128906,1 out of 4 Floors,Semi-Furnished,Bachelors,3,2,Immediately,North,"Garden/Park, Main Road",,
"₹ 11,000",1 BHK Apartment for rent in Rohini Sector 18,28.7411632537842,77.1346130371094,4 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,South,Garden/Park,2 Open,
