price,title,furnishing,tenants preferred,bathroom,availability,latitude,longitude,balcony,floor,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 18,000",3 BHK House for rent in Gudimalkapur 1400 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.3879203,78.4371165,,,,,,,₹,False,18000.0,252.4
"₹ 20,000",3 BHK Villa for rent in Shamshabad 1500 sqft,Unfurnished,Bachelors,3,From Mar '20,17.270166397094727,78.39359283447266,3,,,,,,₹,False,20000.0,280.44
"₹ 5,800",1 BHK Apartment for rent in Vinayak Nagar II-Hayathnagar,Unfurnished,Family,1,Immediately,,,1,1 out of 1 Floor,East,Main Road,,,₹,False,5800.0,81.33
"₹ 14,000","2 BHK Apartment for rent in Kukatpally, NH 9 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.4930841,78.4054408,,2 out of 5 Floors,,,,,₹,False,14000.0,196.31
"₹ 20,000",3 BHK Apartment for rent in Dellapur 1560 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,,5 out of 5 Floors,,,,,₹,False,20000.0,280.44
"₹ 45,000",3 BHK Builder Floor for rent in Whitefields 2000 sqft,Furnished,Bachelors/Family,3,Immediately,17.4543363,78.36589,3,3 out of 5 Floors,East,,,,₹,False,45000.0,630.99
"₹ 21,000","3 BHK House for rent in Madhava Nagar Colony, Miyapur 1650 sqft",Semi-Furnished,Family,2,Immediately,,,2,1 out of 6 Floors,East,Main Road,1 Covered,,₹,False,21000.0,294.46
"₹ 20,000",2 BHK Apartment for rent in Kondapur,Furnished,Bachelors/Family,2,Immediately,17.462682723999027,78.35317993164062,2,1 out of 4 Floors,,,,,₹,False,20000.0,280.44
"₹ 18,500","2 BHK Apartment for rent in Matrusri Nagar, Miyapur, NH 9",Unfurnished,Bachelors/Family,2,Immediately,17.493621826171875,78.36717987060547,2,3 out of 4 Floors,South,,,,₹,False,18500.0,259.41
"₹ 45,000","3 BHK Apartment for rent in Mantri Celestia, Gachibowli, Outer Ring Road 1198 sqft",,,,,17.4241958069213,78.34106,,,,,,,₹,False,45000.0,630.99
"₹ 12,000",2 BHK House for rent in Osman Nagar 180 sqyrd,Furnished,Bachelors/Family,2,Immediately,17.4418133,78.2782231,,Ground out of 1 Floor,,,,,₹,False,12000.0,168.26
"₹ 22,000",4 BHK House for rent in Vasantha Nagar 1600 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,17.5009168,78.3866925,,Ground out of 3 Floors,,,,,₹,False,22000.0,308.48
"₹ 14,000",2 BHK Builder Floor for rent in Tolichowki 1250 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.4002904,78.4118051,,Ground out of 3 Floors,,,,,₹,False,14000.0,196.31
"₹ 16,000",3 BHK Apartment for rent in Kompally 1560 sqft,Furnished,Bachelors,3,Immediately,18.0823869,78.003997,1,5 out of 5 Floors,East,Main Road,,,₹,False,16000.0,224.35
"₹ 27,000",2 BHK House for rent in Jubilee Hills 1350 sqft,Semi-Furnished,Family,2,Immediately,17.432273864746097,78.40977478027344,1,1 out of 2 Floors,East,,,Same Premise,₹,False,27000.0,378.59
"₹ 4,000","1 BHK Villa for rent in Ramanthapur, NH 2 2",Unfurnished,Bachelors/Family,1,Immediately,17.390663146972653,78.54049682617188,,,North,Main Road,,,₹,False,4000.0,56.09
"₹ 10,000",2 BHK Apartment for rent in Defence Colony-Langar Houz 1100 sqft,Unfurnished,Bachelors,2,Immediately,17.45909309387207,78.45441436767578,1,3 out of 4 Floors,East,Main Road,,,₹,False,10000.0,140.22
"₹ 9,500","1 BHK House for rent in Chanda Naik Nagar, Madhapur",Unfurnished,Bachelors/Family,1,From Feb '20,,,1,2 out of 2 Floors,North,,,,₹,False,9500.0,133.21
"₹ 9,000",2 BHK House for rent in Telephone Colony 250 sqyrd,Unfurnished,Family,2,Immediately,17.427545547485348,78.58330535888672,,Ground out of 2 Floors,North - East,Main Road,1 Open,,₹,False,9000.0,126.2
"₹ 8,000",2 BHK House for rent in Bandlaguda Jagir 150 sqyrd,Unfurnished,Bachelors/Family,2,Immediately,,,,1 out of 1 Floor,,,,,₹,False,8000.0,112.18
"₹ 25,000","4 BHK House for rent in Saket Bhusatva, Kompally 267 sqyrd",,,,,17.601153,78.47016500000001,,,,,,,₹,False,25000.0,350.55
"₹ 15,000",2 BHK House for rent in West Marredpally 120 sqyrd,Unfurnished,Bachelors/Family,1,Immediately,17.446586608886722,78.50011444091797,1,1 out of 2 Floors,North - East,Main Road,2 Open,,₹,False,15000.0,210.33
"₹ 16,500","1 BHK Builder Floor for rent in Financial District, Nanakram Guda",Semi-Furnished,Bachelors/Family,1,Immediately,,,,Ground out of 2 Floors,West,,1 Covered,,₹,False,16500.0,231.36
"₹ 12,000","3 BHK House for rent in Bachupally, Outer Ring Road 2800 sqft",Semi-Furnished,Family,4,Immediately,17.5518169403076,78.3860702514648,,,East,,,,₹,False,12000.0,168.26
"₹ 12,000",2 BHK Apartment for rent in Bandari Layout 1080 sqft,Semi-Furnished,Bachelors/Family,2,From Mar '20,,,,1 out of 5 Floors,,,,,₹,False,12000.0,168.26
"₹ 22,000",2 BHK Apartment for rent in Kondapur 1250 sqft,Semi-Furnished,Bachelors,2,Immediately,17.462682723999027,78.35317993164062,1,4 out of 5 Floors,East,"Main Road, Garden/Park",,,₹,False,22000.0,308.48
"₹ 18,500","2 BHK House for rent in Domalguda, Himayath Nagar, NH 7 1050 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.404983520507812,78.48649597167969,,2 out of 2 Floors,South,Main Road,,,₹,False,18500.0,259.41
"₹ 9,500","2 BHK House for rent in New Maruthi Nagar, Kothapet 1350 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.380123138427734,78.54069519042969,2,Ground out of 2 Floors,West,Main Road,,,₹,False,9500.0,133.21
"₹ 15,000","2 BHK Apartment for rent in Bandlaguda, Nagole, Srisailam Highway 800 sqft",Unfurnished,Bachelors,2,Immediately,17.310426712036133,78.47264099121094,2,1 out of 4 Floors,East,,,,₹,False,15000.0,210.33
"₹ 22,000","3 BHK Villa for rent in Libdom Luxury Villas, Bandlaguda Jagir 150 sqyrd",,,,,17.3593805779577,78.3803580363271,,,,,,,₹,False,22000.0,308.48
"₹ 45,000","3 BHK Apartment for rent in Aditya Sunshine, Hitech City 2500 sqft",,,,,17.46539,78.3712816666667,,,,,,,₹,False,45000.0,630.99
"₹ 25,000",3 BHK Apartment for rent in kphb phase 6 1530 sqft,Semi-Furnished,Family,2,Immediately,17.4939602,78.4008412,3,1 out of 5 Floors,East,,1 Covered,,₹,False,25000.0,350.55
"₹ 35,000","3 BHK Villa for rent in Alkapur Township, Manikonda, Outer Ring Road 2600 sqft",Furnished,Bachelors/Family,4,Immediately,,,2,,,,,,₹,False,35000.0,490.77
"₹ 11,000","2 BHK House for rent in Kalyan Puri, Secunderabad 1200 sqft",Furnished,Family,2,Immediately,17.413158416748,78.5576400756836,2,1 out of 2 Floors,East,Main Road,1 Open,Same Premise,₹,False,11000.0,154.24
"₹ 25,600","2 BHK House for rent in Rajarajeshwari Nagar, Kondapur 1200 sqft",Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 4 Floors,,,,,₹,False,25600.0,358.96
