address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Rua João Barros Moreira, Recreio dos Bandeirantes",450 m²,7.0,4.0,3.0,R$ 5.000 /mês,condomínio R$ 1.242,IPTU R$ 481,-23.0197394,-43.4600439,Rua João Barros Moreira, Recreio dos Bandeirantes,5000,1162.23
"Rua João Pinheiro, Piedade",56 m²,2.0,2.0,1.0,R$ 1.300 /mês,condomínio R$ 460,IPTU R$ 60,-22.8871743,-43.3041246,Rua João Pinheiro, Piedade,1300,302.18
"Estrada dos Bandeirantes, Jacarepaguá",61 m²,2.0,2.0,1.0,R$ 1.380 /mês,condomínio R$ 600,IPTU R$ 89,-22.9548472,-43.3765899,Estrada dos Bandeirantes, Jacarepaguá,1380,320.78
"Rua Mário Covas Júnior, Barra da Tijuca",97 m²,3.0,2.0,1.0,R$ 2.950 /mês,condomínio R$ 852,IPTU R$ 315,-23.0056458,-43.330188299999996,Rua Mário Covas Júnior, Barra da Tijuca,2950,685.72
"Rua Coronel Paulo Malta Rezende, Barra da Tijuca",65 m²,2.0,2.0,1.0,R$ 2.400 /mês,condomínio R$ 809,IPTU R$ 218,-23.004933800000003,-43.3312167,Rua Coronel Paulo Malta Rezende, Barra da Tijuca,2400,557.87
"Rua Araguaia, Freguesia (Jacarepaguá)",95 m²,2.0,3.0,2.0,R$ 2.650 /mês,condomínio R$ 735,IPTU R$ 203,-22.937735600000003,-43.3446284,Rua Araguaia, Freguesia (Jacarepaguá),2650,615.98
"Rua Redentor, Ipanema",130 m²,3.0,3.0,1.0,R$ 7.300 /mês,condomínio R$ 1.879,IPTU R$ 644,-22.9821776,-43.2133851,Rua Redentor, Ipanema,7300,1696.86
"Rua Alcides Lima, Jacarepaguá",70 m²,2.0,2.0,1.0,R$ 1.500 /mês,condomínio R$ 400,IPTU R$ 110,-22.9451467,-43.3374151,Rua Alcides Lima, Jacarepaguá,1500,348.67
"Rua Aroazes, Jacarepaguá",64 m²,2.0,2.0,1.0,R$ 1.650 /mês,condomínio R$ 650,IPTU R$ 95,-22.9709611,-43.395351399999996,Rua Aroazes, Jacarepaguá,1650,383.54
"Rua Ituverava, Freguesia de Jacarepaguá",65 m²,2.0,2.0,1.0,R$ 1.900 /mês,condomínio R$ 500,IPTU R$ 150,-22.9408899,-43.3422564,Rua Ituverava, Freguesia de Jacarepaguá,1900,441.65
"Estrada Pau-ferro, Pechincha",54 m²,2.0,2.0,1.0,R$ 1.700 /mês,condomínio R$ 345,IPTU R$ 94,-22.928988,-43.3534191,Estrada Pau-ferro, Pechincha,1700,395.16
"Rua Ivo Borges, Recreio dos Bandeirantes",400 m²,4.0,5.0,2.0,R$ 3.500 /mês,condomínio R$ 1.050,IPTU R$ 300,-23.016643600000002,-43.4687359,Rua Ivo Borges, Recreio dos Bandeirantes,3500,813.56
"Rua Araguaia, Freguesia (Jacarepaguá)",77 m²,2.0,2.0,1.0,R$ 2.300 /mês,condomínio R$ 596,IPTU R$ 114,-22.937735600000003,-43.3446284,Rua Araguaia, Freguesia (Jacarepaguá),2300,534.63
"Jacarepaguá, Rio de Janeiro",67 m²,2.0,3.0,2.0,R$ 1.800 /mês,condomínio R$ 450,IPTU R$ 117,-22.9665038,-43.371319299999996,Jacarepaguá, Rio de Janeiro,1800,418.4
