,price,bathroom,coord,bhk,sqft,class
0,18000.0,2.0,"(17.378782100000002, 78.43740240000002)",3.0,1400.0,0.0
1,20000.0,3.0,"(78.39359283447266, 17.270166397094727)",3.0,1500.0,0.0
2,5800.0,1.0,"(17.331127600000002, 78.5987291)",1.0,,0.0
3,14000.0,2.0,"(17.4948682, 78.39914559999998)",2.0,1100.0,0.0
4,20000.0,2.0,"(17.463172, 78.2864815)",3.0,1560.0,0.0
5,45000.0,3.0,"(17.4554835, 78.3684902)",3.0,2000.0,0.0
6,21000.0,2.0,"(17.495289899999996, 78.36111159999999)",3.0,1650.0,0.0
7,20000.0,2.0,"(78.35317993164062, 17.462682723999027)",2.0,,0.0
8,18500.0,2.0,"(78.36717987060547, 17.493621826171875)",2.0,,0.0
9,45000.0,,"(78.34106, 17.4241958069213)",3.0,1198.0,0.0
10,12000.0,2.0,"(17.4415837, 78.2785379)",2.0,180.0,0.0
11,22000.0,3.0,"(17.495272, 78.3856699)",4.0,1600.0,0.0
12,14000.0,2.0,"(17.399002300000006, 78.4156933)",2.0,1250.0,0.0
13,16000.0,3.0,"(17.5366218, 78.4844811)",3.0,1560.0,0.0
14,27000.0,2.0,"(78.40977478027344, 17.432273864746097)",2.0,1350.0,0.0
15,4000.0,1.0,"(78.54049682617188, 17.390663146972653)",1.0,2.0,0.0
16,10000.0,2.0,"(78.45441436767578, 17.45909309387207)",2.0,1100.0,0.0
17,9500.0,1.0,"(17.4537988, 78.3920437)",1.0,,0.0
18,9000.0,2.0,"(78.58330535888672, 17.427545547485348)",2.0,250.0,0.0
19,8000.0,2.0,"(17.362971899999998, 78.39432629999997)",2.0,150.0,0.0
20,25000.0,,"(78.47016500000002, 17.601153)",4.0,267.0,0.0
21,15000.0,1.0,"(78.50011444091797, 17.446586608886722)",2.0,120.0,0.0
22,16500.0,1.0,"(17.4107978, 78.34155200000002)",1.0,,0.0
23,12000.0,4.0,"(78.3860702514648, 17.5518169403076)",3.0,2800.0,0.0
24,12000.0,2.0,"(17.520385, 78.38472159999998)",2.0,1080.0,0.0
25,22000.0,2.0,"(78.35317993164062, 17.462682723999027)",2.0,1250.0,0.0
26,18500.0,2.0,"(78.48649597167969, 17.404983520507812)",2.0,1050.0,0.0
27,9500.0,2.0,"(78.54069519042969, 17.380123138427734)",2.0,1350.0,0.0
28,15000.0,2.0,"(78.47264099121094, 17.310426712036133)",2.0,800.0,0.0
29,22000.0,,"(78.3803580363271, 17.3593805779577)",3.0,150.0,0.0
30,45000.0,,"(78.3712816666667, 17.46539)",3.0,2500.0,0.0
31,25000.0,2.0,"(17.4869582, 78.3861041)",3.0,1530.0,0.0
32,35000.0,4.0,"(17.4153172, 78.3556287)",3.0,2600.0,0.0
33,11000.0,2.0,"(78.5576400756836, 17.413158416748)",2.0,1200.0,0.0
34,25600.0,2.0,"(17.4683211, 78.35435500000001)",2.0,1200.0,0.0
35,23000.0,2.0,"(78.35317993164062, 17.462682723999027)",2.0,1200.0,0.0
36,16000.0,2.0,"(17.4948682, 78.39914559999998)",2.0,1050.0,0.0
37,15000.0,2.0,"(17.338088, 78.5287321)",2.0,1400.0,0.0
38,15000.0,3.0,"(17.5366218, 78.4844811)",3.0,1530.0,0.0
39,21000.0,3.0,"(78.5891342163086, 17.400156021118164)",3.0,1605.0,0.0
40,9500.0,2.0,"(17.491939399999996, 78.51276039999998)",2.0,1000.0,0.0
41,36500.0,3.0,"(17.448583499999998, 78.39080349999998)",2.0,1290.0,0.0
42,10000.0,2.0,"(17.4097358, 78.6016437)",2.0,1750.0,0.0
43,6500.0,1.0,"(78.31008911132812, 17.509449005126953)",1.0,,0.0
44,16500.0,2.0,"(78.34429931640625, 17.521093368530273)",2.0,1050.0,0.0
45,10000.0,2.0,"(78.55517578125, 17.362995147705078)",2.0,1150.0,0.0
46,28000.0,2.0,"(17.4698577, 78.35782459999999)",2.0,1250.0,0.0
47,25000.0,3.0,"(17.412190300000002, 78.4775205)",3.0,1575.0,0.0
