areas,bathrooms,bedrooms,r$_pmo,coord,class
450.0,7.0,4.0,5000,"(-23.0197394, -43.4600439)",0.0
56.0,2.0,2.0,1300,"(-22.8871743, -43.3041246)",0.0
61.0,2.0,2.0,1380,"(-22.9548472, -43.3765899)",0.0
97.0,3.0,2.0,2950,"(-23.0056458, -43.330188299999996)",0.0
65.0,2.0,2.0,2400,"(-23.004933800000003, -43.3312167)",0.0
95.0,2.0,3.0,2650,"(-22.937735600000003, -43.3446284)",0.0
130.0,3.0,3.0,7300,"(-22.9821776, -43.2133851)",0.0
70.0,2.0,2.0,1500,"(-22.9451467, -43.3374151)",0.0
64.0,2.0,2.0,1650,"(-22.9709611, -43.395351399999996)",0.0
65.0,2.0,2.0,1900,"(-22.9408899, -43.3422564)",1.0
54.0,2.0,2.0,1700,"(-22.928988, -43.3534191)",1.0
400.0,4.0,5.0,3500,"(-23.016643600000002, -43.4687359)",0.0
77.0,2.0,2.0,2300,"(-22.937735600000003, -43.3446284)",0.0
67.0,2.0,3.0,1800,"(-22.9665038, -43.371319299999996)",0.0
66.0,2.0,2.0,1700,"(-22.9408899, -43.3422564)",1.0
70.0,2.0,2.0,2300,"(-22.822127300000002, -43.1718358)",0.0
90.0,2.0,2.0,1500,"(-22.8395223, -43.32898460000001)",0.0
70.0,2.0,2.0,2600,"(-22.9219495, -43.2345965)",0.0
74.0,2.0,2.0,1000,"(-22.9149163, -43.346668)",1.0
69.0,2.0,2.0,1700,"(-23.0066417, -43.4845412)",0.0
70.0,3.0,1.0,2650,"(-22.9859524, -43.1911156)",0.0
65.0,2.0,2.0,2300,"(-22.9323641, -43.1821872)",0.0
141.0,2.0,3.0,3000,"(-22.8163695, -43.2068501)",0.0
65.0,2.0,2.0,1200,"(-22.93048030000001, -43.3555556)",0.0
140.0,4.0,3.0,7500,"(-22.9877577, -43.2286995)",0.0
65.0,2.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0
62.0,2.0,2.0,1300,"(-22.93048030000001, -43.3555556)",0.0
82.0,3.0,2.0,2200,"(-22.9920076, -43.4023471)",0.0
57.0,1.0,1.0,1600,"(-22.97579330000001, -43.1912304)",0.0
75.0,2.0,2.0,1500,"(-22.9454515, -43.33619829999999)",0.0
65.0,1.0,2.0,1900,"(-22.968515300000004, -43.1850961)",0.0
92.0,2.0,3.0,1900,"(-23.0217111, -43.486967799999995)",0.0
70.0,2.0,2.0,2000,"(-22.9190092, -43.2373143)",0.0
55.0,2.0,2.0,1700,"(-22.928988, -43.3534191)",1.0
105.0,3.0,2.0,2000,"(-22.8264095, -43.1726886)",0.0
61.0,2.0,2.0,1800,"(-22.7604893, -43.4560811)",0.0
70.0,2.0,2.0,1800,"(-23.0217111, -43.486967799999995)",0.0
86.0,2.0,2.0,12000,"(-22.9855992, -43.1969718)",0.0
101.0,,3.0,3400,"(-22.9770236, -43.230294)",0.0
50.0,1.0,1.0,1100,"(-22.8979639, -43.2504148)",0.0
36.0,1.0,1.0,2350000,"(-22.981271300000003, -43.2004164)",0.0
70.0,2.0,2.0,1500,"(-22.9166361, -43.2097521)",0.0
