price,coord,class
1193416,"(18.938788, 72.838105)",0.0
4471106,"(18.9304714, 72.83353309999998)",0.0
2793601,"(18.9801254, 72.84028599999998)",0.0
588304,"(19.160481, 72.9454193)",0.0
1203501,"(19.1296654, 72.93163609999998)",0.0
968179,"(19.1300559, 72.9387868)",0.0
2151661,"(18.9954087, 72.84805820000003)",0.0
5762012,"(19.0111181, 72.83192829999999)",0.0
3055816,"(19.0670561, 72.85186449999998)",0.0
1919550,"(19.0372959, 72.87871)",0.0
410852,"(19.1631138, 72.93809040000002)",0.0
3533183,"(18.9996394, 72.82537370000001)",0.0
1469078,"(19.13679, 72.93067590000003)",0.0
2064105,"(19.094047, 72.92266)",0.0
1411928,"(19.160481, 72.9454193)",0.0
631989,"(19.1969201, 72.876083)",0.0
1122752,"(19.2165676, 72.86559820000002)",0.0
1432033,"(19.0305354, 72.8452449)",0.0
6555381,"(19.0771337, 72.83458499999998)",0.0
1983423,"(19.118376, 72.85688490000003)",0.0
2121254,"(19.0941527, 72.92052009999998)",0.0
1183330,"(19.1731822, 72.8696033)",0.0
2158233,"(19.1095788, 72.9018007)",0.0
1805251,"(19.0168866, 72.85388)",1.0
699241,"(19.1840613, 72.8640314)",1.0
1257289,"(19.160058, 72.9470533)",0.0
974903,"(19.2198888, 72.86189820000001)",0.0
1717846,"(19.1985897, 72.85546409999998)",0.0
1337970,"(19.0742111, 72.86198449999998)",0.0
598422,"(19.195301800000006, 72.8398395)",0.0
1169883,"(19.2165676, 72.86559820000002)",0.0
2111041,"(19.0357714, 72.85745159999998)",0.0
1055466,"(19.2198888, 72.86189820000001)",0.0
873933,"(19.160481, 72.9454193)",0.0
978265,"(19.0566712, 72.89973459999999)",0.0
1761549,"(19.1419959, 72.8444071)",0.0
1018605,"(19.2067783, 72.84850689999998)",0.0
1586849,"(19.1969201, 72.876083)",0.0
1166522,"(19.130708, 72.9317038)",0.0
769837,"(19.0659804, 72.88390439999998)",0.0
1405205,"(19.0855971, 72.90927940000002)",0.0
847157,"(19.116301, 72.9123412)",0.0
2450704,"(19.1262732, 72.83264199999998)",0.0
803454,"(19.2037944, 72.8210831)",0.0
1546398,"(19.1181505, 72.8567161)",0.0
1143074,"(19.195301800000006, 72.8398395)",0.0
2285996,"(19.0347717, 72.8525198)",1.0
1008554,"(19.2175443, 72.8534756)",0.0
1277324,"(19.1743576, 72.96274709999999)",0.0
1210123,"(19.2175443, 72.8534756)",0.0
1647250,"(19.1888378, 72.83398620000001)",0.0
2551556,"(19.1236962, 72.8928672)",0.0
1042138,"(19.193901, 72.8704671)",0.0
857242,"(19.1517821, 72.94048149999998)",1.0
1361502,"(19.214243, 72.87266329999999)",0.0
8404335,"(19.1517345, 72.83283540000002)",0.0
4571958,"(19.137351, 72.83407159999999)",0.0
1159798,"(19.1615609, 72.9435088)",1.0
5160262,"(19.0372959, 72.87871)",0.0
2010317,"(19.1289124, 72.8177657)",0.0
1546532,"(19.1464581, 72.93887509999998)",0.0
3099312,"(19.1146891, 72.89624189999998)",0.0
927956,"(19.1743576, 72.96274709999999)",0.0
2151510,"(19.0357714, 72.85745159999998)",0.0
1129434,"(19.1146891, 72.89624189999998)",0.0
1690952,"(19.165003, 72.843069)",0.0
1664058,"(19.16516, 72.93917429999998)",0.0
681356,"(19.0620527, 72.88343549999998)",0.0
2097722,"(19.221262, 72.85809499999998)",1.0
1243842,"(19.14731, 72.84837809999998)",0.0
2366661,"(19.1572463, 72.84051079999998)",0.0
3170115,"(19.176465, 72.868985)",0.0
2470875,"(18.9981214, 72.8229296)",0.0
1311076,"(19.1656736, 72.85854350000002)",0.0
1270735,"(19.1898861, 72.8354552)",0.0
2286127,"(19.0357714, 72.85745159999998)",0.0
2218534,"(19.1146891, 72.89624189999998)",0.0
3536746,"(18.9946505, 72.83489920000002)",0.0
3496103,"(18.9946505, 72.83489920000002)",0.0
2696128,"(18.9946505, 72.83489920000002)",0.0
1684229,"(19.191909, 72.8351595)",1.0
3015475,"(19.1660719, 72.9345506)",0.0
2168318,"(18.9967566, 72.8277926)",0.0
1348055,"(19.0533734, 72.8745407)",0.0
1038776,"(19.1241789, 72.91521829999998)",0.0
2212021,"(18.9732592, 72.83235490000001)",0.0
705964,"(19.1444809, 72.93435009999997)",0.0
793033,"(19.175293, 72.95611740000002)",0.0
4995537,"(19.0045997, 72.8493739)",1.0
1580200,"(19.1662566, 72.8525696)",0.0
1048915,"(19.1743576, 72.96274709999999)",0.0
2890957,"(19.060574, 72.85043999999998)",0.0
5042601,"(18.9773318, 72.8087718)",0.0
1358208,"(19.0461248, 72.9132122)",0.0
2746537,"(19.1582728, 72.9454583)",0.0
676583,"(19.1141602, 72.9357502)",0.0
652176,"(19.1612887, 72.93846789999998)",0.0
2531386,"(19.091282, 72.91643040000002)",0.0
591363,"(19.147463100000003, 72.9259218)",1.0
1095925,"(19.1780266, 72.87170619999998)",0.0
806816,"(19.149790600000006, 72.93267949999998)",0.0
1896018,"(19.0372959, 72.87871)",0.0
1943082,"(19.1298829, 72.8361467)",0.0
1573292,"(19.0638046, 72.8920434)",0.0
1109359,"(19.2198888, 72.86189820000001)",0.0
968179,"(19.020062300000006, 72.8353928)",0.0
2655904,"(18.9162281, 72.8295801)",0.0
524464,"(19.2022243, 72.8152705)",0.0
5781984,"(19.0017924, 72.82495899999998)",0.0
508664,"(19.1139223, 72.933971)",0.0
806816,"(19.1529775, 72.84461770000001)",0.0
766475,"(19.1296561, 72.9333067)",1.0
924477,"(19.1910861, 72.8626421)",1.0
1257289,"(18.9965184, 72.82901159999999)",0.0
1532379,"(19.2004454, 72.87370229999998)",0.0
318188,"(19.148385, 72.9270698)",0.0
1748102,"(19.1705898, 72.93727990000002)",1.0
1428737,"(19.1124059, 72.8863937)",0.0
978265,"(19.1296561, 72.9333067)",1.0
3361633,"(18.9710396, 72.8128308)",0.0
1277567,"(19.0720631, 72.8371073)",0.0
800175,"(19.0588586, 72.8790468)",0.0
2420549,"(19.0484216, 72.82252290000002)",0.0
2017040,"(19.0461248, 72.9132122)",0.0
1176607,"(19.130626100000004, 72.83897259999998)",0.0
948009,"(19.088571, 72.91483199999998)",0.0
342561,"(19.148385, 72.9270698)",0.0
854116,"(19.2081416, 72.8798446)",0.0
732858,"(19.1517173, 72.93438569999998)",0.0
759718,"(19.105854, 72.91746289999998)",0.0
802782,"(19.1756223, 72.87776550000002)",0.0
921115,"(19.177983, 72.8501228)",0.0
1519504,"(19.1652655, 72.95845870000002)",1.0
1613565,"(19.1139004, 72.8524015)",0.0
7059642,"(18.963602, 72.8197928)",0.0
2286046,"(19.1139004, 72.8524015)",0.0
4639193,"(19.060574, 72.85043999999998)",0.0
7395865,"(18.9345189, 72.8371021)",0.0
939235,"(19.1656736, 72.85854350000002)",0.0
932982,"(19.176289, 72.8623745)",0.0
1428737,"(19.1217876, 72.9178755)",0.0
730572,"(19.2244924, 72.86621729999997)",1.0
326088,"(19.1920516, 72.86713509999998)",1.0
1627079,"(19.1581084, 72.947482)",0.0
6357039,"(19.0086952, 72.8334279)",0.0
860604,"(19.1956336, 72.8685115)",0.0
689155,"(19.2005188, 72.86663259999997)",1.0
1327885,"(19.0701721, 72.8956536)",0.0
1848819,"(18.9713485, 72.8334349)",0.0
672414,"(19.1631138, 72.93809040000002)",0.0
11765935,"(19.1137589, 72.8316308)",0.0
2185043,"(19.1289207, 72.8619092)",0.0
3193900,"(19.060574, 72.85043999999998)",0.0
726471,"(19.2202063, 72.8666866)",0.0
736220,"(19.071964, 72.9047906)",0.0
1596824,"(19.1146146, 72.8840941)",0.0
867327,"(19.1458935, 72.85741750000003)",0.0
861680,"(19.2004135, 72.8412127)",0.0
644276,"(19.1228461, 72.8701047)",0.0
469970,"(19.0636649, 72.90303420000002)",0.0
1247203,"(19.0517369, 72.88664849999998)",1.0
1583377,"(19.122313, 72.8857403)",0.0
860604,"(19.1114388, 72.92678000000002)",0.0
1411989,"(19.160481, 72.9454193)",0.0
670347,"(19.2438394, 72.86778819999998)",0.0
2010317,"(18.9713485, 72.8334349)",0.0
739514,"(19.1511736, 72.8326275)",0.0
1673533,"(19.1423522, 72.8449636)",0.0
958094,"(19.0573852, 72.9050061)",0.0
924477,"(19.1452091, 72.8321637)",0.0
394231,"(19.202119600000003, 72.82831159999998)",1.0
1331247,"(19.1705898, 72.93727990000002)",1.0
628644,"(19.2410255, 72.86365789999998)",0.0
617450,"(19.1943396, 72.8593747)",0.0
1021967,"(19.175116100000004, 72.86534809999998)",0.0
1116096,"(19.2022243, 72.8152705)",0.0
1311076,"(19.2490129, 72.8638785)",1.0
477327,"(19.1969201, 72.876083)",0.0
793302,"(19.1915579, 72.8604115)",0.0
739634,"(19.0523035, 72.91507220000003)",0.0
470710,"(19.1969201, 72.876083)",0.0
638830,"(19.1367393, 72.9317595)",0.0
719411,"(19.0561703, 72.91025350000002)",0.0
395811,"(19.246381, 72.872314)",1.0
625820,"(19.2053584, 72.824022)",0.0
1065670,"(19.1954037, 72.83340919999998)",0.0
572537,"(19.2510181, 72.87208799999998)",0.0
1795166,"(19.1839665, 72.8425555)",1.0
1109372,"(19.2130374, 72.8188768)",0.0
1300991,"(19.1148576, 72.84996319999998)",0.0
1035616,"(19.0661753, 72.89272869999998)",0.0
739654,"(19.160481, 72.9454193)",0.0
1243842,"(19.1011489, 72.91122419999998)",0.0
995148,"(19.0357714, 72.85745159999998)",0.0
6219208,"(19.0764024, 72.8290568)",1.0
6051363,"(19.144455, 72.82492599999998)",0.0
995073,"(19.2095239, 72.87463389999998)",0.0
679070,"(19.2433451, 72.8605113)",1.0
1092564,"(18.9126831, 72.8212934)",0.0
414502,"(19.0621229, 72.922263)",1.0
779922,"(19.0703949, 72.8460777)",0.0
1142990,"(18.9462445, 72.82649980000002)",0.0
941272,"(19.2198888, 72.86189820000001)",0.0
1277543,"(18.9946505, 72.83489920000002)",0.0
941286,"(18.96851, 72.84378249999997)",0.0
873977,"(19.1146891, 72.89624189999998)",0.0
1042070,"(19.195874, 72.839519)",0.0
1132904,"(19.1700756, 72.958497)",0.0
652950,"(19.0093414, 72.8984317)",0.0
1203501,"(19.0523512, 72.9354908)",1.0
998704,"(19.0996248, 72.8848733)",0.0
1902741,"(18.9470425, 72.83002479999998)",0.0
2074190,"(19.1464196, 72.7954178)",0.0
1680783,"(19.1289207, 72.8619092)",0.0
571629,"(19.160481, 72.9454193)",0.0
1412022,"(19.1146891, 72.89624189999998)",0.0
1142860,"(19.1146891, 72.89624189999998)",0.0
968139,"(19.2198888, 72.86189820000001)",0.0
867327,"(19.006585600000005, 72.85041729999998)",1.0
1132904,"(19.104834, 72.92874990000001)",0.0
17386889,"(18.9956254, 72.8208318)",0.0
564832,"(19.078160600000004, 72.914467)",0.0
255450,"(19.1289496, 72.930686)",0.0
793396,"(19.078160600000004, 72.914467)",0.0
1949739,"(19.0282347, 72.8785587)",0.0
1714283,"(19.1979771, 72.87249179999998)",0.0
733934,"(19.0749268, 72.841814)",1.0
2612067,"(19.0353999, 72.84334559999998)",0.0
1482525,"(19.0372848, 72.84634)",0.0
2272532,"(18.955950100000006, 72.83741549999998)",0.0
628543,"(19.172349, 72.881314)",0.0
2117810,"(19.1289207, 72.8619092)",0.0
3025561,"(19.1289207, 72.8619092)",0.0
1808445,"(19.1146891, 72.89624189999998)",0.0
2084201,"(19.1139004, 72.8524015)",0.0
3563438,"(19.1031881, 72.8485318)",0.0
1127122,"(19.0747117, 72.9176813)",0.0
1253927,"(19.0382146, 72.84102929999997)",0.0
917753,"(19.1372423, 72.9349833)",0.0
1623718,"(19.207669, 72.850634)",0.0
1210224,"(19.109107, 72.8486975)",0.0
322676,"(19.1631138, 72.93809040000002)",0.0
1815303,"(19.144455, 72.82492599999998)",0.0
739514,"(19.195874, 72.839519)",0.0
457196,"(19.1511736, 72.8326275)",0.0
887599,"(19.2601514, 72.8542872)",0.0
1758187,"(18.9780586, 72.8308334)",0.0
1778357,"(18.9354415, 72.83425559999998)",0.0
2353214,"(19.0287365, 72.84182360000001)",0.0
2891091,"(19.0312781, 72.8421781)",0.0
5883035,"(19.0360842, 72.83954790000001)",0.0
1082478,"(18.9618587, 72.83725890000002)",0.0
1388396,"(18.9536703, 72.82662479999998)",0.0
228665,"(19.172349, 72.881314)",0.0
1674063,"(19.144455, 72.82492599999998)",0.0
2097680,"(19.0615644, 72.85591070000002)",0.0
309216,"(19.1969201, 72.876083)",0.0
2420328,"(19.0615644, 72.85591070000002)",0.0
1701037,"(19.0993813, 72.84472889999998)",0.0
2057381,"(19.0282347, 72.8785587)",0.0
3391990,"(18.9996394, 72.82537370000001)",0.0
1593462,"(19.13679, 72.93067590000003)",0.0
2497768,"(19.026600100000003, 72.8785814)",0.0
403388,"(19.1631138, 72.93809040000002)",0.0
73925,"(19.0088678, 72.8573828)",0.0
1748034,"(19.144455, 72.82492599999998)",0.0
1680702,"(19.160481, 72.9454193)",0.0
3092930,"(19.144455, 72.82492599999998)",0.0
1119289,"(19.0747117, 72.9176813)",0.0
927839,"(18.9457286, 72.8311489)",0.0
2312873,"(19.1402957, 72.86520970000002)",0.0
1311076,"(19.0961371, 72.9190564)",0.0
11429896,"(19.0261555, 72.8438161)",0.0
2638961,"(19.0353849, 72.8423036)",0.0
262185,"(19.1878099, 72.845366)",0.0
705964,"(19.1367393, 72.9317595)",0.0
302556,"(19.1878099, 72.845366)",0.0
1479197,"(19.144455, 72.82492599999998)",0.0
1143090,"(19.1438971, 72.8427707)",0.0
537071,"(19.0380334, 72.8537589)",1.0
3781951,"(19.0694678, 72.83715040000001)",0.0
3718078,"(19.0773781, 72.8298537)",0.0
3462586,"(19.0671554, 72.83294240000002)",0.0
2531386,"(19.1008731, 72.8457775)",0.0
934562,"(19.1926252, 72.8385253)",0.0
974868,"(18.9994335, 72.84483320000002)",0.0
336103,"(19.172349, 72.881314)",0.0
437025,"(19.1969201, 72.876083)",0.0
941246,"(19.144455, 72.82492599999998)",0.0
1445546,"(19.160481, 72.9454193)",0.0
1489248,"(19.1490839, 72.8390507)",0.0
1748102,"(19.1295977, 72.8373776)",0.0
252130,"(19.156474, 72.92965190000002)",1.0
3980293,"(19.0716521, 72.8326656)",0.0
1351417,"(19.0655502, 72.9216947)",1.0
907752,"(19.0109799, 72.851241)",0.0
558068,"(19.0638046, 72.8920434)",0.0
806749,"(19.160481, 72.9454193)",0.0
605166,"(19.2228758, 72.84217840000002)",0.0
470629,"(19.1969201, 72.876083)",0.0
1223671,"(19.1333829, 72.93568509999999)",0.0
8179099,"(18.9901402, 72.82127129999998)",0.0
4276126,"(19.1153163, 72.85108749999998)",0.0
8081609,"(19.0017924, 72.82495899999998)",0.0
1650611,"(19.0690922, 72.86165940000002)",0.0
981499,"(19.195301800000006, 72.8398395)",0.0
705902,"(19.071795, 72.86294199999998)",0.0
1613767,"(19.144455, 72.82492599999998)",0.0
719332,"(19.160481, 72.9454193)",0.0
198334,"(19.1878099, 72.845366)",0.0
1058946,"(19.1333829, 72.93568509999999)",0.0
3476033,"(19.104658, 72.852273)",0.0
1738017,"(19.0260169, 72.8439259)",0.0
520161,"(19.0374869, 72.84978620000003)",1.0
1899380,"(19.0260169, 72.8439259)",0.0
1751463,"(19.2242681, 72.8631418)",0.0
578151,"(19.1969201, 72.876083)",0.0
941286,"(19.2438394, 72.86778819999998)",0.0
268905,"(19.1725542, 72.942537)",0.0
1512965,"(19.1752424, 72.97103890000002)",0.0
981626,"(19.1979771, 72.87249179999998)",0.0
9258216,"(19.0188042, 72.8301195)",0.0
5156900,"(19.0320015, 72.8444312)",0.0
1707761,"(19.1372705, 72.8334612)",0.0
723008,"(19.0899985, 72.83624689999998)",0.0
1613632,"(19.104658, 72.852273)",0.0
1048861,"(19.1296561, 72.9333067)",1.0
20193937,"(19.0188042, 72.8301195)",0.0
1190054,"(18.978315, 72.8317163)",1.0
1008587,"(19.078596, 72.85396479999999)",0.0
2386851,"(19.0357714, 72.85745159999998)",0.0
571411,"(19.2022243, 72.8152705)",0.0
1210224,"(19.1969201, 72.876083)",0.0
1042131,"(19.1915579, 72.8604115)",0.0
1643888,"(19.1296561, 72.9333067)",1.0
2316235,"(19.092818, 72.913595)",0.0
3563438,"(19.078354, 72.83985559999998)",0.0
521136,"(19.187751, 72.85033899999998)",0.0
2188489,"(18.9757559, 72.8252035)",0.0
1566568,"(19.106840100000007, 72.84966419999998)",0.0
719377,"(19.2022243, 72.8152705)",0.0
1210224,"(19.2175443, 72.8534756)",0.0
806783,"(19.2175443, 72.8534756)",0.0
806842,"(19.172349, 72.881314)",0.0
1943082,"(18.9921944, 72.8362523)",0.0
1132904,"(19.114031, 72.89768000000002)",0.0
809808,"(19.1296561, 72.9333067)",1.0
1378311,"(19.090779, 72.90289090000002)",0.0
2985220,"(19.0744522, 72.8711402)",0.0
1620356,"(19.122459, 72.88429789999998)",0.0
208401,"(19.172349, 72.881314)",0.0
1344895,"(19.160481, 72.9454193)",0.0
437059,"(19.1725542, 72.942537)",0.0
591581,"(19.2438394, 72.86778819999998)",0.0
2184993,"(19.0990278, 72.841453)",0.0
2566213,"(19.0282347, 72.8785587)",0.0
558888,"(19.0827837, 72.88105589999998)",0.0
1458993,"(19.1260586, 72.85372530000002)",0.0
1159798,"(19.1254451, 72.92271769999998)",0.0
2383469,"(19.1080732, 72.8502908)",0.0
