price,title,furnishing,tenants preferred,bathroom,availability,longitude,latitude,balcony,floor,facing,overlooking,car parking,owner resides
"₹ 18,000",3 BHK House for rent in Gudimalkapur 1400 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,,,,,
"₹ 20,000",3 BHK Villa for rent in Shamshabad 1500 sqft,Unfurnished,Bachelors,3,From Mar '20,17.270166397094727,78.39359283447266,3,,,,,
"₹ 5,800",1 BHK Apartment for rent in Vinayak Nagar II-Hayathnagar,Unfurnished,Family,1,Immediately,,,1,1 out of 1 Floor,East,Main Road,,
"₹ 14,000","2 BHK Apartment for rent in Kukatpally, NH 9 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 5 Floors,,,,
"₹ 20,000",3 BHK Apartment for rent in Dellapur 1560 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,,5 out of 5 Floors,,,,
"₹ 45,000",3 BHK Builder Floor for rent in Whitefields 2000 sqft,Furnished,Bachelors/Family,3,Immediately,,,3,3 out of 5 Floors,East,,,
"₹ 21,000","3 BHK House for rent in Madhava Nagar Colony, Miyapur 1650 sqft",Semi-Furnished,Family,2,Immediately,,,2,1 out of 6 Floors,East,Main Road,1 Covered,
"₹ 20,000",2 BHK Apartment for rent in Kondapur,Furnished,Bachelors/Family,2,Immediately,17.462682723999023,78.35317993164062,2,1 out of 4 Floors,,,,
"₹ 18,500","2 BHK Apartment for rent in Matrusri Nagar, Miyapur, NH 9",Unfurnished,Bachelors/Family,2,Immediately,17.493621826171875,78.36717987060547,2,3 out of 4 Floors,South,,,
"₹ 45,000","3 BHK Apartment for rent in Mantri Celestia, Gachibowli, Outer Ring Road 1198 sqft",,,,,17.4241958069213,78.34106,,,,,,
"₹ 12,000",2 BHK House for rent in Osman Nagar 180 sqyrd,Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 1 Floor,,,,
"₹ 22,000",4 BHK House for rent in Vasantha Nagar 1600 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,Ground out of 3 Floors,,,,
"₹ 14,000",2 BHK Builder Floor for rent in Tolichowki 1250 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,Ground out of 3 Floors,,,,
"₹ 16,000",3 BHK Apartment for rent in Kompally 1560 sqft,Furnished,Bachelors,3,Immediately,,,1,5 out of 5 Floors,East,Main Road,,
"₹ 27,000",2 BHK House for rent in Jubilee Hills 1350 sqft,Semi-Furnished,Family,2,Immediately,17.432273864746094,78.40977478027344,1,1 out of 2 Floors,East,,,Same Premise
"₹ 4,000","1 BHK Villa for rent in Ramanthapur, NH 2 2",Unfurnished,Bachelors/Family,1,Immediately,17.390663146972656,78.54049682617188,,,North,Main Road,,
"₹ 10,000",2 BHK Apartment for rent in Defence Colony-Langar Houz 1100 sqft,Unfurnished,Bachelors,2,Immediately,17.45909309387207,78.45441436767578,1,3 out of 4 Floors,East,Main Road,,
"₹ 9,500","1 BHK House for rent in Chanda Naik Nagar, Madhapur",Unfurnished,Bachelors/Family,1,From Feb '20,,,1,2 out of 2 Floors,North,,,
"₹ 9,000",2 BHK House for rent in Telephone Colony 250 sqyrd,Unfurnished,Family,2,Immediately,17.42754554748535,78.58330535888672,,Ground out of 2 Floors,North - East,Main Road,1 Open,
"₹ 8,000",2 BHK House for rent in Bandlaguda Jagir 150 sqyrd,Unfurnished,Bachelors/Family,2,Immediately,,,,1 out of 1 Floor,,,,
"₹ 25,000","4 BHK House for rent in Saket Bhusatva, Kompally 267 sqyrd",,,,,17.601153,78.470165,,,,,,
"₹ 15,000",2 BHK House for rent in West Marredpally 120 sqyrd,Unfurnished,Bachelors/Family,1,Immediately,17.44658660888672,78.50011444091797,1,1 out of 2 Floors,North - East,Main Road,2 Open,
"₹ 16,500","1 BHK Builder Floor for rent in Financial District, Nanakram Guda",Semi-Furnished,Bachelors/Family,1,Immediately,,,,Ground out of 2 Floors,West,,1 Covered,
"₹ 12,000","3 BHK House for rent in Bachupally, Outer Ring Road 2800 sqft",Semi-Furnished,Family,4,Immediately,17.5518169403076,78.3860702514648,,,East,,,
"₹ 12,000",2 BHK Apartment for rent in Bandari Layout 1080 sqft,Semi-Furnished,Bachelors/Family,2,From Mar '20,,,,1 out of 5 Floors,,,,
"₹ 22,000",2 BHK Apartment for rent in Kondapur 1250 sqft,Semi-Furnished,Bachelors,2,Immediately,17.462682723999023,78.35317993164062,1,4 out of 5 Floors,East,"Main Road, Garden/Park",,
"₹ 18,500","2 BHK House for rent in Domalguda, Himayath Nagar, NH 7 1050 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.404983520507812,78.48649597167969,,2 out of 2 Floors,South,Main Road,,
"₹ 9,500","2 BHK House for rent in New Maruthi Nagar, Kothapet 1350 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.380123138427734,78.54069519042969,2,Ground out of 2 Floors,West,Main Road,,
"₹ 15,000","2 BHK Apartment for rent in Bandlaguda, Nagole, Srisailam Highway 800 sqft",Unfurnished,Bachelors,2,Immediately,17.310426712036133,78.47264099121094,2,1 out of 4 Floors,East,,,
"₹ 22,000","3 BHK Villa for rent in Libdom Luxury Villas, Bandlaguda Jagir 150 sqyrd",,,,,17.3593805779577,78.3803580363271,,,,,,
"₹ 45,000","3 BHK Apartment for rent in Aditya Sunshine, Hitech City 2500 sqft",,,,,17.46539,78.3712816666667,,,,,,
"₹ 25,000",3 BHK Apartment for rent in kphb phase 6 1530 sqft,Semi-Furnished,Family,2,Immediately,,,3,1 out of 5 Floors,East,,1 Covered,
"₹ 35,000","3 BHK Villa for rent in Alkapur Township, Manikonda, Outer Ring Road 2600 sqft",Furnished,Bachelors/Family,4,Immediately,,,2,,,,,
"₹ 11,000","2 BHK House for rent in Kalyan Puri, Secunderabad 1200 sqft",Furnished,Family,2,Immediately,17.413158416748,78.5576400756836,2,1 out of 2 Floors,East,Main Road,1 Open,Same Premise
"₹ 25,600","2 BHK House for rent in Rajarajeshwari Nagar, Kondapur 1200 sqft",Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 4 Floors,,,,
"₹ 23,000",2 BHK Apartment for rent in Kondapur 1200 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.462682723999023,78.35317993164062,2,1 out of 6 Floors,,,,
"₹ 16,000","2 BHK Apartment for rent in Kukatpally, NH 9 1050 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 5 Floors,,,,
"₹ 15,000","2 BHK House for rent in Gayatri Nagar, Medbowli, Inner Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 3 Floors,,,,
"₹ 15,000",3 BHK Apartment for rent in Kompally 1530 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,2 out of 4 Floors,,,,
"₹ 21,000",3 BHK Apartment for rent in Sai Nagar-Uppal 1605 sqft,Furnished,Bachelors,3,Immediately,17.400156021118164,78.5891342163086,1,3 out of 5 Floors,,,,
"₹ 9,500","2 BHK House for rent in West Venkatapuram, Secunderabad, Siddipet Road 1000 sqft",Furnished,Family,2,Immediately,,,,Ground out of 1 Floor,,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 36,500",2 BHK Apartment for rent in Madhapur 1290 sqft,Furnished,Bachelors,3,Immediately,,,2,1 out of 9 Floors,North - West,Garden/Park,,
"₹ 10,000","2 BHK Villa for rent in Peerzadiguda, NH 2 2 1750 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,,,,,
"₹ 6,500","1 BHK Penthouse for rent in Chandanagar, NH 9",Unfurnished,Bachelors,1,Immediately,17.509449005126953,78.31008911132812,1,2 out of 2 Floors,East,,,
"₹ 16,500","2 BHK Apartment for rent in Miyapur, NH 9 1050 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.521093368530273,78.34429931640625,,2 out of 5 Floors,,,,
"₹ 10,000","2 BHK House for rent in LB Nagar, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.362995147705078,78.55517578125,1,2 out of 2 Floors,North,Main Road,,
"₹ 28,000",2 BHK Apartment for rent in Kondapur 1250 sqft,Furnished,Bachelors/Family,2,Immediately,,,,1 out of 5 Floors,,,,
"₹ 25,000","3 BHK Apartment for rent in Domalguda, Himayath Nagar, NH 7 1575 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,4 out of 5 Floors,,,,
"₹ 22,000","3 BHK House for rent in Concrete OU Colony, Tanasha Nagar, Outer Ring Road 1850 sqft",,,,,17.4080024,78.3915439,,,,,,
"₹ 16,500","3 BHK Apartment for rent in Trident Grande, Kompally 1898 sqft",,,,,17.5622357986078,78.4880920923764,,,,,,
"₹ 15,000","2 BHK Apartment for rent in Gudi Malkapur, Mehdipatnam 1000 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.38923454284668,78.4422378540039,,5 out of 5 Floors,East,,"1 Covered, 1 Open",
"₹ 16,000",2 BHK Apartment for rent in Moghalpura 160 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,1 out of 3 Floors,,,,
"₹ 13,000","3 BHK Apartment for rent in Bachupally, Outer Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,1 out of 5 Floors,,,,
"₹ 25,000","2 BHK Apartment for rent in SMR Vinay Harmony County, Appa junction 1285 sqft",,,,,17.350308,78.389608,,,,,,
