price_per_month,deposit,rooms,baths,coord,lat,lng
55000.0,200000.0,2.0,2,"(19.0088678, 72.8573828)",19.0088678,72.8573828
90000.0,300000.0,2.0,2,"(19.0595596, 72.8295287)",19.059559600000004,72.8295287
28000.0,,2.0,2,"(19.2560653, 72.9748448)",19.256065300000003,72.9748448
34500.0,150000.0,2.0,2,"(19.2004454, 72.87370229999999)",19.2004454,72.87370229999998
90000.0,,2.0,2,"(19.1153798, 72.9091436)",19.1153798,72.9091436
24000.0,60000.0,2.0,2,"(19.1343595, 72.9955111)",19.1343595,72.99551109999999
22500.0,100000.0,2.0,2,"(19.2259478, 72.9798823)",19.2259478,72.9798823
85000.0,,3.0,3,"(18.9976573, 72.8375932)",18.9976573,72.8375932
38000.0,100000.0,2.0,2,"(19.1662566, 72.8525696)",19.1662566,72.8525696
23000.0,100000.0,2.0,2,"(19.2467218, 72.9759713)",19.2467218,72.9759713
72000.0,300000.0,2.0,2,"(19.1438971, 72.8427707)",19.1438971,72.8427707
26000.0,50000.0,1.0,1,"(18.9986406, 72.8173599)",18.9986406,72.8173599
13799.999999999998,349000.0,3.0,3,"(19.0099129, 72.8426858)",19.0099129,72.8426858
13400.0,349000.0,3.0,3,"(19.0099129, 72.8426858)",19.0099129,72.8426858
75000.0,300000.0,3.0,3,"(19.1071283, 72.8367535)",19.1071283,72.8367535
19000.0,50000.0,2.0,2,"(19.1030315, 73.0025224)",19.1030315,73.0025224
53000.0,,2.0,2,"(19.1178548, 72.8631304)",19.1178548,72.8631304
10000.0,,2.0,2,"(18.9976573, 72.8375932)",18.9976573,72.8375932
44000.0,200000.0,1.0,1,"(19.0522115, 72.900522)",19.0522115,72.900522
20000.0,,3.0,3,"(19.0163283, 72.8291129)",19.016328299999998,72.82911290000001
65000.0,300000.0,3.0,3,"(19.1364016, 72.8296252)",19.1364016,72.8296252
26500.0,,6.0,6,"(19.1153798, 72.9091436)",19.1153798,72.9091436
24000.0,150000.0,1.0,1,"(19.1982388, 72.8737017)",19.198238800000002,72.8737017
32000.0,150000.0,2.0,2,"(19.1582215, 72.9597433)",19.1582215,72.9597433
30000.0,100000.0,2.0,2,"(19.1178548, 72.8631304)",19.1178548,72.8631304
33000.0,100000.0,2.0,2,"(19.2270696, 72.8670558)",19.227069600000004,72.8670558
18000.0,80000.0,2.0,2,"(19.2856374, 72.8691092)",19.2856374,72.86910920000001
33000.0,100000.0,1.0,1,"(19.0522115, 72.900522)",19.0522115,72.900522
95000.0,,2.0,2,"(18.9986406, 72.8173599)",18.9986406,72.8173599
13700.000000000002,,3.0,3,"(19.1153798, 72.9091436)",19.1153798,72.9091436
80000.0,200000.0,4.0,4,"(19.1364016, 72.8296252)",19.1364016,72.8296252
16000.0,,4.0,4,"(19.1153798, 72.9091436)",19.1153798,72.9091436
70000.0,,2.0,2,"(18.9979864, 72.8135891)",18.9979864,72.8135891
30000.0,150000.0,2.0,2,"(19.0953089, 73.0006774)",19.0953089,73.00067740000001
24000.0,100000.0,2.0,2,"(19.202271, 72.8183134)",19.202271,72.81831340000001
12500.0,500000.0,2.0,2,"(18.9976573, 72.8375932)",18.9976573,72.8375932
72000.0,200000.0,2.0,2,"(18.9931836, 72.82286650000002)",18.993183600000002,72.82286650000002
60000.0,360000.0,3.0,3,"(19.0899, 73.0032257)",19.0899,73.0032257
26000.0,120000.0,2.0,2,"(19.2004454, 72.87370229999999)",19.2004454,72.87370229999998
95000.0,300000.0,2.0,2,"(19.0595596, 72.8295287)",19.059559600000004,72.8295287
50000.0,150000.0,2.0,2,"(19.1178548, 72.8631304)",19.1178548,72.8631304
53000.0,200000.0,2.0,2,"(19.1197229, 72.9051708)",19.1197229,72.9051708
55000.0,,2.0,2,"(19.1178548, 72.8631304)",19.1178548,72.8631304
38500.0,125000.0,1.0,1,"(19.1364016, 72.8296252)",19.1364016,72.8296252
