Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
33.48k per sqft.,"1, 1.5, 2, 3 BHK Apartments","Sep, 2020","Mazgaon, Mumbai",1.18 Cr - 2.37 Cr,Alfa Mana A M Residency,,,,
,3 BHK Apartment,"Dec, 2022","Charni Road, Girgaon, Mumbai",6.5 Cr - 6.8 Cr,Sanghvi Parsssva ExcellenSea,,,,
42.37k per sqft.,"2, 3 BHK Apartments","Jan, 2025","Byculla, Mumbai",3.36 Cr - 4.95 Cr,Piramal Aranya Arav Tower,,,,
,,,"Bhandup West, Mumbai",87.5 L,2 BHK Apartment, 11.09k / sqft.,789 sqft.,,
,"1, 2, 3 BHK Apartments","Mar, 2022","Kanjurmarg East, Mumbai",1.05 Cr - 2.53 Cr,Kanakia Zenworld Phase I,,,,
17.82k per sqft.,"1, 2 BHK Apartments","Dec, 2020","Bhandup East, Mumbai",1.12 Cr - 1.76 Cr,Aadi Allure Wings A To E,,,,
,,,"Sewri, Mumbai",3.2 Cr,3 BHK Apartment, 27.83k / sqft.,1150 sqft.,,
46.29k per sqft.,"3, 4 BHK Apartments","Dec, 2022","Prabhadevi, Mumbai",7.33 Cr - 9.81 Cr,Rustomjee Crown Phase 2,,,,
,"1, 2, 2.5, 3 BHK Apartments","Sep, 2020","Bandra East, Mumbai",2.66 Cr - 6.43 Cr,Kanakia Paris,,,,
20.73k per sqft.,"1, 2, 3 BHK Apartments","Nov, 2018","Sion, Mumbai",1.51 Cr - 4.2 Cr,Lodha New Cuffe Parade,,,,
,,,"Bhandup West, Mumbai",61.11 L,1 BHK Apartment, 10.99k / sqft.,556 sqft.,,
42.5k per sqft.,"2, 3 BHK Apartments","Dec, 2024","Lower Parel, Mumbai",3.68 Cr - 6.83 Cr,Piramal Mahalaxmi,,,,
21.43k per sqft.,"1.5, 2, 3 BHK Apartments","Dec, 2021","Kanjurmarg West, Mumbai",1.24 Cr - 3.13 Cr,Runwal Forests,,,,
,,,"Chembur, Mumbai",3.07 Cr,3 BHK Apartment, 24.56k / sqft.,1250 sqft.,,
,,"30th Nov, 2024","Bhandup West, Mumbai",2.1 Cr,4 BHK Apartment, 17.5k / sqft.,1200 sqft.,,
,,"29th Aug, 2020","Borivali East, Mumbai",94.0 L,1 BHK Apartment, 17.09k / sqft.,550 sqft.,,
