Sr. No.,Ward,No. of Clusters,Area SQ. MT,ACRE
1,A,5,199088,49.2
2,B,10,9077.41,2.24
3,D,20,112849.03,27.89
4,E,69,243523.72,60.18
5,FN,66,1183472.72,292.44
6,FS,62,460248.58,113.73
7,GN,69,1224280.08,302.53
8,GS,47,382535.35,94.53
9,HE,102,1587513.99,392.28
10,HW,67,436745.45,107.92
11,KE,281,2640647.77,652.52
12,KW,148,1413813.89,349.36
13,L,208,3303792.62,816.39
14,ME,123,2938457.66,726.11
15,MW,94,1208191.48,298.55
16,N,114,2131283.53,526.65
17,PN,210,3818591.13,943.6
18,PS,101,1275283.56,315.13
19,RC,83,891659.83,220.33
20,RN,135,1534556.53,379.2
21,RS,112,2038989.9,503.85
22,S,204,3364847.82,831.47
23,T,61,641766.02,158.58
Total,Total,2391,33041216.06,8164.68
