price,longitude,latitude,bathroom,coord,bhk,sqft
10000.0,28.523548126220703,77.20889282226562,2.0,"(28.5220971, 77.2101534)",1.0,
,77.2397968,28.5502164,4.0,"(28.5502164, 77.2397968)",4.0,3200.0
7000.0,77.18482540000001,28.4958562,1.0,"(28.4958562, 77.1848254)",1.0,
20500.0,28.562599182128906,77.24960327148438,1.0,"(28.5625103, 77.2484181)",1.0,
13000.0,28.74116325378418,77.13461303710938,1.0,"(28.7018804, 77.1227164)",1.0,
27000.0,28.56388854980469,77.22004699707031,1.0,"(28.5666032, 77.2201326)",1.0,
30000.0,28.628671646118164,77.30213165283203,2.0,"(28.6295233, 77.3123396)",3.0,1600.0
48500.0,28.54513359069824,77.29019927978516,3.0,"(28.5439606, 77.2913795)",3.0,2500.0
11800.0,28.675051223060894,77.0976053740202,,"(28.6747506, 77.09690429999999)",1.0,
9900.0,77.05581109999999,28.6217542,2.0,"(28.6217542, 77.0558111)",2.0,675.0
10500.0,77.05581109999999,28.6217542,2.0,"(28.6217542, 77.0558111)",2.0,850.0
8500.0,77.3086902,28.622920500000003,1.0,"(28.6229205, 77.3086902)",2.0,55.0
60000.0,28.53972816467285,77.23796844482422,3.0,"(28.5400391, 77.23835989999999)",3.0,
,28.58793640136719,77.2162094116211,3.0,"(28.5877575, 77.215312)",3.0,375.0
90000.0,28.532116,77.15175500000002,,"(28.5252357, 77.1567215)",4.0,1550.0
60000.0,28.543664932250977,77.25489807128906,3.0,"(28.5399515, 77.25915789999999)",3.0,1800.0
11000.0,28.741163253784197,77.1346130371094,1.0,"(28.7018804, 77.1227164)",1.0,
5200.0,77.0031863,28.595593800000003,1.0,"(28.5955938, 77.0031863)",2.0,50.0
26500.0,28.638242721557607,77.07371520996094,3.0,"(28.6386438, 77.07206)",3.0,1125.0
10500.0,77.07206,28.638643800000004,1.0,"(28.6386438, 77.07206)",1.0,
12000.0,28.6193161010742,77.03326416015621,1.0,"(28.6192985, 77.0333266)",2.0,1100.0
27500.0,28.5837917327881,77.2512588500977,1.0,"(28.5829987, 77.2527285)",2.0,900.0
10000.0,28.592716217041016,77.29749298095703,1.0,"(28.5929914, 77.3051591)",2.0,600.0
20000.0,77.05828439999998,28.584949199999997,2.0,"(28.5849492, 77.05828439999999)",2.0,760.0
55000.0,28.7001547,77.15098640000002,,"(28.6992422, 77.1488373)",3.0,1350.0
9000.0,77.12271640000002,28.7018804,1.0,"(28.7018804, 77.1227164)",1.0,
16000.0,28.736530717079606,77.134687,,"(28.7365512, 77.13468999999999)",2.0,900.0
15000.0,77.09360410000002,28.6250403,2.0,"(28.6250403, 77.09360410000001)",2.0,100.0
35000.0,28.534725189208984,77.24182891845703,2.0,"(28.5386667, 77.2398626)",2.0,200.0
25000.0,28.523548126220703,77.20889282226562,1.0,"(28.5220971, 77.2101534)",,
43000.0,28.5265735632272,77.1494911318021,,"(28.5277768, 77.148968)",3.0,1600.0
,77.20052120000001,28.5506847,4.0,"(28.5506847, 77.2005212)",4.0,450.0
40000.0,28.52431869506836,77.14955139160156,2.0,"(28.5293121, 77.1484442)",3.0,1600.0
2500.0,77.31603630000001,28.4916399,1.0,"(28.4916399, 77.3160363)",1.0,
12000.0,77.18482540000001,28.4958562,1.0,"(28.4958562, 77.1848254)",1.0,
18000.0,77.18482540000001,28.4958562,2.0,"(28.4958562, 77.1848254)",3.0,1000.0
65000.0,77.2031247,28.5478897,3.0,"(28.5478897, 77.2031247)",3.0,2700.0
25000.0,28.57697105407715,77.04772186279297,2.0,"(28.5849492, 77.05828439999999)",2.0,900.0
27000.0,28.5594890752106,77.0586873218946,,"(28.5594594, 77.058719)",3.0,1739.0
,28.57504272460937,77.23519897460938,4.0,"(28.5733536, 77.2326497)",4.0,1800.0
9000.0,28.592716217041016,77.29749298095703,1.0,"(28.5929914, 77.3051591)",2.0,550.0
35000.0,28.536296844482425,77.20820617675781,2.0,"(28.5340242, 77.2053054)",1.0,
29000.0,77.2094473,28.5342332,2.0,"(28.5342332, 77.2094473)",2.0,1125.0
25000.0,77.18482540000001,28.4958562,2.0,"(28.4958562, 77.1848254)",3.0,1000.0
22000.0,77.14332490000001,28.5254842,2.0,"(28.5254842, 77.1433249)",2.0,650.0
75000.0,77.22830079999999,28.54482,3.0,"(28.54482, 77.2283008)",3.0,2300.0
60000.0,77.20674269999998,28.542766999999998,3.0,"(28.542767, 77.20674269999999)",3.0,1800.0
11000.0,77.2786205,28.627948800000002,1.0,"(28.6279488, 77.2786205)",2.0,65.0
11000.0,77.12271640000002,28.7018804,2.0,"(28.7018804, 77.1227164)",2.0,55.0
16500.0,28.605365753173828,77.29544067382812,2.0,"(28.6083697, 77.293112)",2.0,700.0
5500.0,77.1281345,28.544868599999997,1.0,"(28.5448686, 77.1281345)",1.0,
10000.0,28.74116325378418,77.13461303710938,1.0,"(28.7018804, 77.1227164)",1.0,
70000.0,28.54358673095703,77.21442413330078,3.0,"(28.5415056, 77.21608499999999)",3.0,2000.0
35000.0,28.5918632060399,77.0637851148019,,"(28.5928152, 77.0705627)",3.0,1600.0
,77.16505269999998,28.578938300000004,3.0,"(28.5789383, 77.16505269999999)",3.0,2100.0
40500.0,28.53437805175781,77.20806121826172,3.0,"(28.5342332, 77.2094473)",3.0,1126.0
9500.0,76.9854526,28.6090126,2.0,"(28.6090126, 76.9854526)",3.0,100.0
10000.0,77.04241390000001,28.616948100000002,1.0,"(28.6169481, 77.0424139)",2.0,55.0
9500.0,77.21015340000001,28.522097100000003,1.0,"(28.5220971, 77.2101534)",1.0,
9000.0,77.07206,28.638643800000004,1.0,"(28.6386438, 77.07206)",1.0,
12000.0,28.605365753173828,77.29544067382812,1.0,"(28.6083697, 77.293112)",2.0,600.0
20000.0,77.1644665,28.6518267,1.0,"(28.6518267, 77.1644665)",1.0,
55000.0,28.542598,77.2009124199753,,"(28.5425705, 77.20150009999999)",3.0,1500.0
25000.0,77.3176541,28.671245799999998,2.0,"(28.6712458, 77.3176541)",3.0,200.0
25000.0,28.711339950561523,77.14173126220703,2.0,"(28.7120974, 77.1413259)",2.0,850.0
35000.0,28.537872314453125,77.24923706054688,2.0,"(28.5397842, 77.2489726)",2.0,
17000.0,28.557674407958984,77.20368957519531,1.0,"(28.5584489, 77.2029376)",1.0,
18500.0,77.30270589999998,28.650218,2.0,"(28.650218, 77.30270589999999)",2.0,1600.0
90000.0,77.20118570000001,28.537206599999998,4.0,"(28.5372066, 77.2011857)",4.0,450.0
60000.0,28.523548126220703,77.20889282226562,3.0,"(28.5220971, 77.2101534)",3.0,250.0
42000.0,28.5204481863143,77.20148561374171,,"(28.5226679, 77.20279)",2.0,1300.0
5000.0,77.25919379999998,28.700453399999997,1.0,"(28.7004534, 77.25919379999999)",1.0,
24000.0,77.1562196,28.651027000000003,2.0,"(28.651027, 77.1562196)",3.0,950.0
6000.0,28.592716217041016,77.29749298095703,1.0,"(28.5929914, 77.3051591)",1.0,
5500.0,28.592716217041016,77.29749298095703,1.0,"(28.5929914, 77.3051591)",1.0,
22300.0,28.584202898792896,77.044187,,"(28.5856316, 77.0424609)",2.0,1200.0
70000.0,77.1454007,28.537867100000003,2.0,"(28.5378671, 77.1454007)",3.0,2000.0
18000.0,77.05828439999998,28.584949199999997,3.0,"(28.5849492, 77.05828439999999)",3.0,1320.0
14000.0,28.70074844360352,77.14403533935547,1.0,"(28.6989703, 77.1387225)",1.0,
41000.0,28.54878234863281,77.19900512695312,2.0,"(28.5506847, 77.2005212)",2.0,1000.0
33000.0,28.5831769305404,77.06247445332599,,"(28.5830849, 77.0617395)",3.0,1800.0
55000.0,28.5344181060791,77.20816040039062,3.0,"(28.5340242, 77.2053054)",3.0,1800.0
8000.0,77.00182509999998,28.620996299999998,2.0,"(28.6209963, 77.00182509999999)",2.0,50.0
16000.0,28.53260040283203,77.21614837646484,2.0,"(28.5308163, 77.21680359999999)",2.0,750.0
17000.0,28.64933586120605,77.13431549072266,1.0,"(28.65109, 77.1326969)",1.0,
25000.0,77.24897259999999,28.5397842,2.0,"(28.5397842, 77.2489726)",2.0,126.0
15000.0,77.2567012,28.5421788,1.0,"(28.5421788, 77.2567012)",2.0,600.0
38000.0,28.5853760153873,77.3008419125549,,"(28.5850145, 77.3014048)",3.0,1510.0
,28.54519081115723,77.22933197021484,3.0,"(28.54482, 77.2283008)",3.0,3600.0
16000.0,28.523548126220703,77.20889282226562,3.0,"(28.5220971, 77.2101534)",3.0,1600.0
20000.0,28.635967254638672,77.26956176757812,2.0,"(28.6275609, 77.2784081)",3.0,1000.0
70000.0,77.25308290000001,28.558346399999998,3.0,"(28.5583464, 77.2530829)",3.0,200.0
25500.0,28.632408142089844,77.30240631103516,2.0,"(28.6347308, 77.30457109999999)",3.0,1400.0
25700.0,28.63465118408203,77.30498504638672,3.0,"(28.6295233, 77.3123396)",3.0,1550.0
24000.0,28.575746536254893,77.24215698242188,2.0,"(28.5334705, 77.21158199999999)",2.0,900.0
,28.55557632446289,77.23369598388672,3.0,"(28.5502164, 77.2397968)",3.0,300.0
45000.0,28.553136572511,77.246954,,"(28.5528762, 77.2469577)",3.0,1100.0
10000.0,77.25915789999998,28.5399515,1.0,"(28.5399515, 77.25915789999999)",1.0,
15000.0,77.25915789999998,28.5399515,1.0,"(28.5399515, 77.25915789999999)",1.0,
20000.0,77.25915789999998,28.5399515,2.0,"(28.5399515, 77.25915789999999)",2.0,901.0
35000.0,77.25915789999998,28.5399515,2.0,"(28.5399515, 77.25915789999999)",3.0,150.0
35000.0,77.25915789999998,28.5399515,2.0,"(28.5399515, 77.25915789999999)",2.0,1081.0
38000.0,77.24843670000001,28.529186600000003,2.0,"(28.5291866, 77.2484367)",3.0,1400.0
14000.0,28.74116325378418,77.13461303710938,1.0,"(28.7018804, 77.1227164)",1.0,
55000.0,77.2009932,28.5479558,3.0,"(28.5479558, 77.2009932)",3.0,1800.0
,28.54358673095703,77.21442413330078,3.0,"(28.5415056, 77.21608499999999)",3.0,1950.0
,28.543346405029297,77.21068572998047,4.0,"(28.5415056, 77.21608499999999)",4.0,3000.0
9000.0,77.2576512,28.5354803,1.0,"(28.5354803, 77.2576512)",1.0,
40000.0,28.537872314453125,77.24923706054688,2.0,"(28.5397842, 77.2489726)",2.0,1250.0
30000.0,28.64221000671387,77.27643585205078,2.0,"(28.6422826, 77.276792)",3.0,900.0
10000.0,28.523548126220703,77.20889282226562,1.0,"(28.5220971, 77.2101534)",1.0,
60000.0,77.2397968,28.5502164,3.0,"(28.5502164, 77.2397968)",3.0,1700.0
5000.0,77.2786205,28.627948800000002,1.0,"(28.6279488, 77.2786205)",2.0,400.0
60000.0,28.529971000000003,77.145426,,"(28.536298, 77.14092099999999)",3.0,1300.0
15000.0,28.523548126220703,77.20889282226562,2.0,"(28.5220971, 77.2101534)",2.0,950.0
30000.0,28.65350341796875,77.30101013183594,2.0,"(28.6532021, 77.3012097)",3.0,1600.0
30000.0,77.07133470000001,28.5860543,3.0,"(28.5860543, 77.0713347)",3.0,115.0
