areas,bathrooms,bedrooms,latitude,longitude,r$_pmo,coord
450.0,7.0,4.0,-23.0197394,-43.4600439,5000,"(-23.0197394, -43.4600439)"
56.0,2.0,2.0,-22.8871743,-43.3041246,1300,"(-22.8871743, -43.3041246)"
61.0,2.0,2.0,-22.9548472,-43.3765899,1380,"(-22.9548472, -43.3765899)"
97.0,3.0,2.0,-23.0056458,-43.3301883,2950,"(-23.0056458, -43.3301883)"
65.0,2.0,2.0,-23.004933800000003,-43.3312167,2400,"(-23.004933800000003, -43.3312167)"
95.0,2.0,3.0,-22.937735600000003,-43.3446284,2650,"(-22.937735600000003, -43.3446284)"
130.0,3.0,3.0,-22.9821776,-43.2133851,7300,"(-22.9821776, -43.2133851)"
70.0,2.0,2.0,-22.9451467,-43.3374151,1500,"(-22.9451467, -43.3374151)"
64.0,2.0,2.0,-22.9709611,-43.3953514,1650,"(-22.9709611, -43.3953514)"
65.0,2.0,2.0,-22.9408899,-43.342256400000004,1900,"(-22.9408899, -43.342256400000004)"
54.0,2.0,2.0,-22.928988,-43.353419099999996,1700,"(-22.928988, -43.353419099999996)"
400.0,4.0,5.0,-23.0166436,-43.4687359,3500,"(-23.0166436, -43.4687359)"
77.0,2.0,2.0,-22.937735600000003,-43.3446284,2300,"(-22.937735600000003, -43.3446284)"
67.0,2.0,3.0,-22.9665038,-43.3713193,1800,"(-22.9665038, -43.3713193)"
66.0,2.0,2.0,-22.9408899,-43.342256400000004,1700,"(-22.9408899, -43.342256400000004)"
70.0,2.0,2.0,-22.8221273,-43.1718358,2300,"(-22.8221273, -43.1718358)"
90.0,2.0,2.0,-22.8395223,-43.32898460000001,1500,"(-22.8395223, -43.32898460000001)"
70.0,2.0,2.0,-22.9219495,-43.2345965,2600,"(-22.9219495, -43.2345965)"
74.0,2.0,2.0,-22.9149163,-43.346668,1000,"(-22.9149163, -43.346668)"
69.0,2.0,2.0,-23.0066417,-43.4845412,1700,"(-23.0066417, -43.4845412)"
70.0,3.0,1.0,-22.9859524,-43.1911156,2650,"(-22.9859524, -43.1911156)"
65.0,2.0,2.0,-22.9323641,-43.1821872,2300,"(-22.9323641, -43.1821872)"
141.0,2.0,3.0,-22.8163695,-43.2068501,3000,"(-22.8163695, -43.2068501)"
65.0,2.0,2.0,-22.930480300000006,-43.3555556,1200,"(-22.930480300000006, -43.3555556)"
140.0,4.0,3.0,-22.9877577,-43.2286995,7500,"(-22.9877577, -43.2286995)"
65.0,2.0,2.0,-23.004933800000003,-43.3312167,2200,"(-23.004933800000003, -43.3312167)"
62.0,2.0,2.0,-22.930480300000006,-43.3555556,1300,"(-22.930480300000006, -43.3555556)"
