,address,areas,bathrooms,bedrooms,parking-spaces,price,price-item-0,price-item-1,
0,"Rua João Barros Moreira, Recreio dos Bandeirantes",450 m²,7,4,3,R$ 5.000 /mês,condomínio R$ 1.242,IPTU R$ 481,
1,"Rua João Pinheiro, Piedade",56 m²,2,2,1,R$ 1.300 /mês,condomínio R$ 460,IPTU R$ 60,
2,"Estrada dos Bandeirantes, Jacarepaguá",61 m²,2,2,1,R$ 1.380 /mês,condomínio R$ 600,IPTU R$ 89,
3,"Rua Mário Covas Júnior, Barra da Tijuca",97 m²,3,2,1,R$ 2.950 /mês,condomínio R$ 852,IPTU R$ 315,
4,"Rua Coronel Paulo Malta Rezende, Barra da Tijuca",65 m²,2,2,1,R$ 2.400 /mês,condomínio R$ 809,IPTU R$ 218,
5,"Rua Araguaia, Freguesia (Jacarepaguá)",95 m²,2,3,2,R$ 2.650 /mês,condomínio R$ 735,IPTU R$ 203,
6,"Rua Redentor, Ipanema",130 m²,3,3,1,R$ 7.300 /mês,condomínio R$ 1.879,IPTU R$ 644,
7,"Rua Alcides Lima, Jacarepaguá",70 m²,2,2,1,R$ 1.500 /mês,condomínio R$ 400,IPTU R$ 110,
8,"Rua Aroazes, Jacarepaguá",64 m²,2,2,1,R$ 1.650 /mês,condomínio R$ 650,IPTU R$ 95,
9,"Rua Ituverava, Freguesia de Jacarepaguá",65 m²,2,2,1,R$ 1.900 /mês,condomínio R$ 500,IPTU R$ 150,
10,"Estrada Pau-ferro, Pechincha",54 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 345,IPTU R$ 94,
11,"Rua Ivo Borges, Recreio dos Bandeirantes",400 m²,4,5,2,R$ 3.500 /mês,condomínio R$ 1.050,IPTU R$ 300,
12,"Rua Araguaia, Freguesia (Jacarepaguá)",77 m²,2,2,1,R$ 2.300 /mês,condomínio R$ 596,IPTU R$ 114,
13,"Jacarepaguá, Rio de Janeiro",67 m²,2,3,2,R$ 1.800 /mês,condomínio R$ 450,IPTU R$ 117,
14,"Estrada Pau-ferro, Freguesia (Jacarepaguá)",66 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 700,IPTU R$ 103,
15,"Rua Paramopama, Ribeira",70 m²,2,2,1,R$ 2.300 /mês,condomínio R$ 250,IPTU R$ 25,
16,"Rua Samin, Irajá",90 m²,2,2,1,R$ 1.500 /mês,condomínio R$ 170,,
17,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca",70 m²,2,2,1,R$ 2.600 /mês,condomínio R$ 814,IPTU R$ 155,
18,"Estrada da Covanca, Tanque",74 m²,2,2,1,R$ 1.000 /mês,condomínio R$ 500,IPTU R$ 17,
19,"Rua Silvia Pozzano, Recreio dos Bandeirantes",69 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 740,IPTU R$ 180,
20,"Rua Raul Pompéia, Copacabana",70 m²,3,1,,R$ 2.650 /mês,condomínio R$ 586,IPTU R$ 170,
21,"Rua das Laranjeiras, Laranjeiras",65 m²,2,2,1,R$ 2.300 /mês,condomínio R$ 900,IPTU R$ 120,
22,"Rua Itua, Jardim Guanabara",141 m²,2,3,2,R$ 3.000 /mês,condomínio R$ 500,IPTU R$ 249,
23,"Rua Retiro dos Artistas, Pechincha",65 m²,2,2,1,R$ 1.200 /mês,condomínio R$ 540,IPTU R$ 85,
24,"Avenida Visconde de Albuquerque, Leblon",140 m²,4,3,1,R$ 7.500 /mês,condomínio R$ 1.500,IPTU R$ 581,
25,"Rua Coronel Paulo Malta Rezende, Barra da Tijuca",65 m²,2,2,1,R$ 2.200 /mês,condomínio R$ 713,IPTU R$ 229,
26,"Rua Retiro dos Artistas, Pechincha",62 m²,2,2,1,R$ 1.300 /mês,condomínio R$ 550,IPTU R$ 88,
27,"Rua Paulo Moura, Barra da Tijuca",82 m²,3,2,1,R$ 2.200 /mês,condomínio R$ 950,IPTU R$ 280,
28,"Rua Bolivar, Copacabana",57 m²,1,1,,R$ 1.600 /mês,condomínio R$ 608,IPTU R$ 121,
29,"Rua Ituverava, Anil",75 m²,2,2,,R$ 1.500 /mês,condomínio R$ 300,IPTU R$ 75,
30,"Rua Siqueira Campos, Copacabana",65 m²,1,2,,R$ 1.900 /mês,,,
31,"Avenida José Luiz Ferraz, Recreio dos Bandeirantes",92 m²,2,3,1,R$ 1.900 /mês,condomínio R$ 97.000,IPTU R$ 230,
32,"Rua Ribeiro Guimarães, Vila Isabel",70 m²,2,2,2,R$ 2.000 /mês,condomínio R$ 745,IPTU R$ 103,
33,"Estrada Pau-ferro, Pechincha",55 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 342,IPTU R$ 94,
34,"Praia do Jequia, Ribeira",105 m²,3,2,1,R$ 2.000 /mês,condomínio R$ 510,,
35,"Rua Comendador Soares, Centro",61 m²,2,2,1,R$ 1.800 /mês,condomínio R$ 600,IPTU R$ 80,
0,"Avenida José Luiz Ferraz, Recreio dos Bandeirantes",70 m²,2,2,1,R$ 1.800 /mês,condomínio R$ 1.000,IPTU R$ 185,
1,"Rua Prudente de Morais, Ipanema",86 m²,2,2,1,R$ 12.000 /mês,condomínio R$ 4.348,IPTU R$ 813,
2,"Rua Marquês de São Vicente, Gávea",101 m²,,3,1,R$ 3.400 /mês,condomínio R$ 1.105,IPTU R$ 409,
3,"Rua Conde de Porto Alegre, Rocha",50 m²,1,1,,R$ 1.100 /mês,condomínio R$ 250,IPTU R$ 22,
4,"Rua Alberto de Campos, Ipanema",36 m²,1,1,,R$ 2.350.000 /mês,condomínio R$ 550,IPTU R$ 79,
5,"Rua Aristídes Lôbo, Estácio",70 m²,2,2,1,R$ 1.500 /mês,condomínio R$ 942,IPTU R$ 50,
6,"Rua Anchieta, Leme",140 m²,1,3,,R$ 3.300 /mês,condomínio R$ 1.581,IPTU R$ 443,
7,"Rua José Linhares, Leblon",200 m²,6,4,2,R$ 11.000 /mês,condomínio R$ 6.000,IPTU R$ 935,
8,"Avenida Rui Barbosa, Flamengo",280 m²,2,4,2,R$ 7.000 /mês,condomínio R$ 2.200,IPTU R$ 400,
9,"Praça Antônio Callado, Barra da Tijuca",81 m²,3,3,,R$ 2.200 /mês,condomínio R$ 1.415,IPTU R$ 265,
10,"Rua Santa Alexandrina, Rio Comprido",82 m²,1,2,1,R$ 1.500 /mês,condomínio R$ 800,IPTU R$ 40,
11,"Avenida Braz de Pina, Penha Circular",58 m²,2,2,1,R$ 950 /mês,condomínio R$ 550,IPTU R$ 101,
12,"Rua Adalberto Ferreira, Leblon",120 m²,,2,,R$ 10.500 /mês,condomínio R$ 1.565,IPTU R$ 699,
13,"Avenida Lúcio Costa, Barra da Tijuca",143 m²,3,3,2,R$ 5.000 /mês,condomínio R$ 2.120,IPTU R$ 856,
14,"Rua do Bispo, Rio Comprido",66 m²,1,1,1,R$ 1.500 /mês,condomínio R$ 576,IPTU R$ 53,
15,"Avenida Rui Barbosa, Flamengo",250 m²,3,3,1,R$ 7.000 /mês,condomínio R$ 1.640,IPTU R$ 860,
16,"Rua Visconde de Santa Isabel, Vila Isabel",52 m²,1,1,2,R$ 1.400 /mês,condomínio R$ 500,,
17,"Ipanema, Rio de Janeiro",180 m²,3,4,1,R$ 12.850 /mês,condomínio R$ 2.900,IPTU R$ 1.250,
18,"Rua Ipanema, Barra da Tijuca",161 m²,2,3,2,R$ 4.500 /mês,condomínio R$ 2.478,IPTU R$ 451,
19,"Avenida Malibu, Barra da Tijuca",65 m²,,1,1,R$ 2.350 /mês,,,
20,"Rua Correa Dutra, Flamengo",44 m²,,1,1,R$ 2.000 /mês,condomínio R$ 720,IPTU R$ 118,
21,"Rua Figueiredo Magalhães, Copacabana",30 m²,1,1,,R$ 1.200 /mês,condomínio R$ 850,IPTU R$ 60,
22,"Rua Evandro de Castro Lima, Recreio dos Bandeirantes",76 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 785,IPTU R$ 113,
