price,title,furnishing,tenants preferred,bathroom,availability,longitude,latitude,balcony,floor,facing,overlooking,car parking,owner resides,address,gmaps_info,coord
"₹ 18,000",3 BHK House for rent in Gudimalkapur 1400 sqft,Unfurnished,Bachelors/Family,2,Immediately,78.4374024,17.3787821,,,,,,," Gudimalkapur, Hyderabad","[{'address_components': [{'long_name': 'Gudimalkapur', 'short_name': 'Gudimalkapur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '500264', 'short_name': '500264', 'types': ['postal_code']}], 'formatted_address': 'Gudimalkapur, Hyderabad, Telangana 500264, India', 'geometry': {'bounds': {'northeast': {'lat': 17.3876289, 'lng': 78.4478239}, 'southwest': {'lat': 17.3735609, 'lng': 78.429371}}, 'location': {'lat': 17.3787821, 'lng': 78.4374024}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.3876289, 'lng': 78.4478239}, 'southwest': {'lat': 17.3735609, 'lng': 78.429371}}}, 'place_id': 'ChIJe-yBpgeXyzsRTQFKIPBGs6E', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(17.3787821, 78.4374024)"
"₹ 20,000",3 BHK Villa for rent in Shamshabad 1500 sqft,Unfurnished,Bachelors,3,From Mar '20,17.270166397094727,78.39359283447266,3,,,,,," Shamshabad, Hyderabad","[{'address_components': [{'long_name': 'Shamshabad', 'short_name': 'Shamshabad', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '501218', 'short_name': '501218', 'types': ['postal_code']}], 'formatted_address': 'Shamshabad, Hyderabad, Telangana 501218, India', 'geometry': {'bounds': {'northeast': {'lat': 17.2725407, 'lng': 78.47484229999999}, 'southwest': {'lat': 17.216891, 'lng': 78.3780523}}, 'location': {'lat': 17.2619301, 'lng': 78.387971}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.2725407, 'lng': 78.47484229999999}, 'southwest': {'lat': 17.216891, 'lng': 78.3780523}}}, 'place_id': 'ChIJXYOFH2m8yzsRHC55DF43h9Y', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(17.2619301, 78.387971)"
"₹ 5,800",1 BHK Apartment for rent in Vinayak Nagar II-Hayathnagar,Unfurnished,Family,1,Immediately,78.5987291,17.3311276,1,1 out of 1 Floor,East,Main Road,,," Vinayak Nagar II-Hayathnagar, Hyderabad","[{'address_components': [{'long_name': 'Vinayak Nagar', 'short_name': 'Vinayak Nagar', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Hayathnagar', 'short_name': 'Hayathnagar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '501505', 'short_name': '501505', 'types': ['postal_code']}], 'formatted_address': 'Vinayak Nagar, Hayathnagar, Hyderabad, Telangana 501505, India', 'geometry': {'bounds': {'northeast': {'lat': 17.3354169, 'lng': 78.604451}, 'southwest': {'lat': 17.3280211, 'lng': 78.596203}}, 'location': {'lat': 17.3311276, 'lng': 78.5987291}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.3354169, 'lng': 78.604451}, 'southwest': {'lat': 17.3280211, 'lng': 78.596203}}}, 'place_id': 'ChIJrZDaqtuhyzsRRfbxlFBVD-k', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(17.3311276, 78.5987291)"
"₹ 14,000","2 BHK Apartment for rent in Kukatpally, NH 9 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,78.3991456,17.4948682,,2 out of 5 Floors,,,,," Kukatpally, NH 9, Hyderabad","[{'address_components': [{'long_name': 'National Highway 65', 'short_name': 'NH65', 'types': ['route']}, {'long_name': 'Kukatpally', 'short_name': 'Kukatpally', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'NH65, Kukatpally, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4995929, 'lng': 78.43104439999999}, 'southwest': {'lat': 17.4627567, 'lng': 78.3747175}}, 'location': {'lat': 17.4948682, 'lng': 78.3991456}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 17.5158245, 'lng': 78.42010189999999}, 'southwest': {'lat': 17.4739119, 'lng': 78.3781893}}}, 'partial_match': True, 'place_id': 'Ei1OSDY1LCBLdWthdHBhbGx5LCBIeWRlcmFiYWQsIFRlbGFuZ2FuYSwgSW5kaWEiLiosChQKEgk3pgj8HD_JOxGAAQe4yLslxRIUChIJPfRiAeyRyzsRSM9YQ_7GiDI', 'types': ['route']}]","(17.4948682, 78.3991456)"
"₹ 20,000",3 BHK Apartment for rent in Dellapur 1560 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,78.2864815,17.463172,,5 out of 5 Floors,,,,," Dellapur, Hyderabad","[{'address_components': [{'long_name': 'Tellapur', 'short_name': 'Tellapur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Tellapur, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4767211, 'lng': 78.30832079999999}, 'southwest': {'lat': 17.4445181, 'lng': 78.2488111}}, 'location': {'lat': 17.463172, 'lng': 78.2864815}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.4767211, 'lng': 78.30832079999999}, 'southwest': {'lat': 17.4445181, 'lng': 78.2488111}}}, 'partial_match': True, 'place_id': 'ChIJW30W4ijtyzsRJglGd-oT9WU', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(17.463172, 78.2864815)"
"₹ 45,000",3 BHK Builder Floor for rent in Whitefields 2000 sqft,Furnished,Bachelors/Family,3,Immediately,78.3684902,17.4554835,3,3 out of 5 Floors,East,,,," Whitefields, Hyderabad","[{'address_components': [{'long_name': 'Whitefields', 'short_name': 'Whitefields', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Kondapur', 'short_name': 'Kondapur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Whitefields, Kondapur, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.459119, 'lng': 78.3734845}, 'southwest': {'lat': 17.4511569, 'lng': 78.363455}}, 'location': {'lat': 17.4554835, 'lng': 78.3684902}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.459119, 'lng': 78.3734845}, 'southwest': {'lat': 17.4511569, 'lng': 78.363455}}}, 'place_id': 'ChIJY1QMjcWTyzsRLRjiZweBEo4', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(17.4554835, 78.3684902)"
"₹ 21,000","3 BHK House for rent in Madhava Nagar Colony, Miyapur 1650 sqft",Semi-Furnished,Family,2,Immediately,78.3611116,17.4952899,2,1 out of 6 Floors,East,Main Road,1 Covered,," Madhava Nagar Colony, Miyapur, Hyderabad","[{'address_components': [{'long_name': 'Madhava Nagar Colony', 'short_name': 'Madhava Nagar Colony', 'types': ['political', 'sublocality', 'sublocality_level_3']}, {'long_name': 'Ambedkar Nagar', 'short_name': 'Ambedkar Nagar', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Hafeezpet', 'short_name': 'Hafeezpet', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '500049', 'short_name': '500049', 'types': ['postal_code']}], 'formatted_address': 'Madhava Nagar Colony, Ambedkar Nagar, Hafeezpet, Hyderabad, Telangana 500049, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4967689, 'lng': 78.363165}, 'southwest': {'lat': 17.4934139, 'lng': 78.359729}}, 'location': {'lat': 17.4952899, 'lng': 78.3611116}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.4967689, 'lng': 78.363165}, 'southwest': {'lat': 17.4934139, 'lng': 78.359729}}}, 'place_id': 'ChIJ_y7SSmuSyzsRAm-DXm2ImWs', 'types': ['political', 'sublocality', 'sublocality_level_3']}]","(17.4952899, 78.3611116)"
"₹ 20,000",2 BHK Apartment for rent in Kondapur,Furnished,Bachelors/Family,2,Immediately,17.462682723999027,78.35317993164062,2,1 out of 4 Floors,,,,," Kondapur, Hyderabad","[{'address_components': [{'long_name': 'Kondapur', 'short_name': 'Kondapur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Kondapur, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4755133, 'lng': 78.3737101}, 'southwest': {'lat': 17.4504829, 'lng': 78.33915999999999}}, 'location': {'lat': 17.4698577, 'lng': 78.3578246}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.4755133, 'lng': 78.3737101}, 'southwest': {'lat': 17.4504829, 'lng': 78.33915999999999}}}, 'place_id': 'ChIJa6NJKMmTyzsR-hJVkDTADd4', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(17.4698577, 78.3578246)"
"₹ 18,500","2 BHK Apartment for rent in Matrusri Nagar, Miyapur, NH 9",Unfurnished,Bachelors/Family,2,Immediately,17.493621826171875,78.36717987060547,2,3 out of 4 Floors,South,,,," Matrusri Nagar, Miyapur, NH 9, Hyderabad","[{'address_components': [{'long_name': 'National Highway 65', 'short_name': 'NH65', 'types': ['route']}, {'long_name': 'Mathrusree Nagar', 'short_name': 'Mathrusree Nagar', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Miyapur', 'short_name': 'Miyapur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'NH65, Mathrusree Nagar, Miyapur, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4967726, 'lng': 78.37298659999999}, 'southwest': {'lat': 17.4963884, 'lng': 78.3613666}}, 'location': {'lat': 17.4964519, 'lng': 78.3664218}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 17.4995124, 'lng': 78.3694823}, 'southwest': {'lat': 17.4933914, 'lng': 78.3633613}}}, 'partial_match': True, 'place_id': 'EjxOSDY1LCBNYXRocnVzcmVlIE5hZ2FyLCBNaXlhcHVyLCBIeWRlcmFiYWQsIFRlbGFuZ2FuYSwgSW5kaWEiLiosChQKEgk3pgj8HD_JOxGAAQe4yLslxRIUChIJ99PZXRaSyzsRvgqRvXg0Kf4', 'types': ['route']}]","(17.4964519, 78.3664218)"
"₹ 45,000","3 BHK Apartment for rent in Mantri Celestia, Gachibowli, Outer Ring Road 1198 sqft",,,,,17.4241958069213,78.34106,,,,,,," Mantri Celestia, Gachibowli, Outer Ring Road, Hyderabad","[{'address_components': [{'long_name': 'Financial District', 'short_name': 'Financial District', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Nanakramguda', 'short_name': 'Nanakramguda', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '500032', 'short_name': '500032', 'types': ['postal_code']}], 'formatted_address': 'ISB Road, Wipro Junction, Gachibowli, Financial District, Nanakramguda, Hyderabad, Telangana 500032, India', 'geometry': {'location': {'lat': 17.4230398, 'lng': 78.3406114}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 17.4243887802915, 'lng': 78.34196038029151}, 'southwest': {'lat': 17.4216908197085, 'lng': 78.3392624197085}}}, 'place_id': 'ChIJO9QEwIGTyzsR-wT5GB3paFY', 'plus_code': {'compound_code': 'C8FR+66 Nanakramguda, Hyderabad, Telangana, India', 'global_code': '7J9WC8FR+66'}, 'types': ['establishment', 'point_of_interest']}]","(17.4230398, 78.3406114)"
"₹ 12,000",2 BHK House for rent in Osman Nagar 180 sqyrd,Furnished,Bachelors/Family,2,Immediately,78.2785379,17.4415837,,Ground out of 1 Floor,,,,," Osman Nagar, Hyderabad","[{'address_components': [{'long_name': 'Osman Nagar', 'short_name': 'Osman Nagar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Medak', 'short_name': 'Medak', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}], 'formatted_address': 'Osman Nagar, Hyderabad, Telangana, India', 'geometry': {'bounds': {'northeast': {'lat': 17.460412, 'lng': 78.305138}, 'southwest': {'lat': 17.422635, 'lng': 78.25702609999999}}, 'location': {'lat': 17.4415837, 'lng': 78.2785379}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.460412, 'lng': 78.305138}, 'southwest': {'lat': 17.422635, 'lng': 78.25702609999999}}}, 'place_id': 'ChIJfa4QssjsyzsR0vfuTE_rPjg', 'types': ['political', 'sublocality', 'sublocality_level_1']}]","(17.4415837, 78.2785379)"
"₹ 22,000",4 BHK House for rent in Vasantha Nagar 1600 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,78.3856699,17.495272,,Ground out of 3 Floors,,,,," Vasantha Nagar, Hyderabad","[{'address_components': [{'long_name': 'Vasanth Nagar', 'short_name': 'Vasanth Nagar', 'types': ['political', 'sublocality', 'sublocality_level_2']}, {'long_name': 'Kukatpally', 'short_name': 'Kukatpally', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Hyderabad', 'short_name': 'Hyderabad', 'types': ['locality', 'political']}, {'long_name': 'Ranga Reddy', 'short_name': 'R.R. District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Telangana', 'short_name': 'Telangana', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'India', 'short_name': 'IN', 'types': ['country', 'political']}, {'long_name': '500085', 'short_name': '500085', 'types': ['postal_code']}], 'formatted_address': 'Vasanth Nagar, Kukatpally, Hyderabad, Telangana 500085, India', 'geometry': {'bounds': {'northeast': {'lat': 17.4969586, 'lng': 78.3875022}, 'southwest': {'lat': 17.4905438, 'lng': 78.38140829999999}}, 'location': {'lat': 17.495272, 'lng': 78.3856699}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.4969586, 'lng': 78.3875022}, 'southwest': {'lat': 17.4905438, 'lng': 78.38140829999999}}}, 'place_id': 'ChIJxbuEXvWRyzsRRVy3GFsFQ1Q', 'types': ['political', 'sublocality', 'sublocality_level_2']}]","(17.495272, 78.3856699)"
